Character,Color,Hex Code
Rafaela Cortes,Orange,#f7931e
Bobby Ngu,Yellow,#ffe666
Emi,Purple,#8762a6
Buzzworm,Blue,#A51D32
Manzanar Murakami,Pink,#ffa5b5
Gabriel Balboa,Red,#Db4105
Arcangel/El Gran Mojado,Magenta,#ff33cc
