Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange
,"Gabriel calls Bobby (26, 160-161)",1998-06-25,1998-06-25,,Gabriel,160.0,162.0,1998-06-25,1998-06-25,160.0,161.0,F,"“Gabriel’s saying how about this afternoon? Got a minute to talk? He’s between assignments. Has Bobby seen the mess on the freeway? He’s really busy, but—""
",,,,,,,,,,
,"Emi meets Buzzworm (27, 165)",1998-06-25,1998-06-25,,Emi,165.0,167.0,1998-06-25,1998-06-25,165.0,167.0,F,"“Buzzworm moved his stature into full prominence and took a look at Emi. “Balboa, this is your replacement?”",,,,,,,,,,
,"Buzzworm goes on-air (29, 177)",1998-06-26,1998-06-26,,Emi,177.0,180.0,1998-06-26,1998-06-26,177.0,180.0,F,"“Cut to station identification and . . . Buzzworm? Emi looked on. He cut an imposing figure. He had a certain charm. “Kerry?” she turned to the tech, “What do you make of this?”",,,,,,,,,,
,"Hernando kidnaps Rafaela (30,185)",1998-06-26,1998-06-27,,Rafaela,185.0,186.0,1998-06-26,1998-06-26,185.0,186.0,F,"“Now the villain of the Jaguar watched for his chance. ”
",,,,,,,,,,
,"Arcangel takes Sol (30, 186)",1998-06-26,1998-06-26,,Rafaela,186.0,186.0,1998-06-26,1998-06-26,186.0,186.0,F,"“Arcangel employed Sol to put the juggled objects away in his suitcase one by one, gently nodding in Rafaela’s direction. The last object was the orange which Sol felt unable to relinquish for a long moment. Rafaela’s eyes pleaded from afar. Arcangel took the boy by the hand and stepped lightly into the bus”",,,,,,,,,,
,"Buzzworm receives cooler (32, 194)",1998-06-26,1998-06-26,,Gabriel,194.0,196.0,1998-06-26,1998-06-26,194.0,194.0,F,“Don’t open it. Give it to Buzzworm. Tell him it’s connected to “C. Juárez.” Let him deal with it.”,,,,,,,,,,
,"Rafaela kills Hernando (38, 220-221)",1998-06-27,1998-06-27,,Rafaela,220.0,222.0,1998-06-27,1998-06-27,220.0,221.0,F,"“As night fell, they began their horrific dance with death, gutting and searing the tissue of their existence, copulating in rage, destroying and creating at once—the apocalyptic fulfillment of a prophecy—blood and semen commingling among shredded serpent and feline remains.”
",,,,,,,,,,
,"Gabriel rescues Rafaela (39, 223)",1998-06-27,1998-06-27,,Gabriel,223.0,228.0,1998-06-27,1998-06-27,223.0,224.0,F,"“As night fell, they began their horrific dance with death, gutting and searing the tissue of their existence, copulating in rage, destroying and creating at once—the apocalyptic fulfillment of a prophecy—blood and semen commingling among shredded serpent and feline remains.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"Bobby walks to the UWC (40, 233)",1998-06-27,1998-06-27,,Bobby,233.0,233.0,1998-06-27,1998-06-27,233.0,233.0,F,"“ And he better leave now to make it by tomorrow. Not gonna move no machine, no Camaro, through these streets. Used to go everywhere on foot. Knows the alleys and the little streets. ”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"Emi is shot (41, 237)",1998-06-27,1998-06-27,,"Emi, Manzanar",,,1998-06-27,1998-06-27,,,F,"“As he pulled her closer, she gasped, “I actually saw them out there aiming for the dish. It’s such a dick in the air, you . . . wouldn’t . . . think . . . they’d . . . miss.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,Manzanar goes to Hospital w/ Emi,1998-06-27,1998-06-27,,Manzanar,255.0,256.0,1998-06-27,1998-06-27,255.0,256.0,F,"“The thing lifted, spun away from the freeway melee and around the Panasonic/Chrysler Coliseum sign. It was 78 degrees, but the time had long been dysfunctional. Manzanar looked up; it was the NewsNow copter requisitioned to save its own. Now, it dipped along the concrete sections of the L.A. River, skirting the Hollywood sign, flitting over the hills.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"The orange travels north (42, 238)",1998-06-27,1998-06-27,,Manzanar,238.0,240.0,1998-06-27,1998-06-27,238.0,239.0,F,"“The entire City of Angels seemed to have opened its singular voice to herald a naked old man and little boy with an orange followed by a motley parade approaching from the south. Once again, the grid was changing.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"Gabriel sets up newsgroups (43, 246)",1998-06-28,1998-06-28,,Gabriel,246.0,249.0,1998-06-28,1998-06-28,246.0,246.0,F,"“Maybe it was a net of loose threads, but I was onto it. For every budget, I set up a newsgroup over the net. For example: alt.soc.med.transplants .farming.infants was one; ”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"Bobby and Rafaela reunite (45, 253-254)",1998-06-28,1998-06-28,,"Bobby, Rafaela",,,1998-06-28,1998-06-28,,,F,"“But then she saw it: the fine silken thread she knew so well, the one that would lead to the orange and hopefully to Sol. It lay in the dust, occasionally whipping about like a delicate piece of tinsel. One more step and she could grab it. Take it in her hands and twist it about her body, pull herself toward Bobby. She held herself against it and, like a sweeping wave, rode forward.” / 
“The orange.” She’s got a fancy pocketknife knotted in her dress. Hands it to Bobby. “Cut it now!”
",,,,,,,,,,
,"Airbags explode (46, 254)",1998-06-28,1998-06-28,,Manzanar,255.0,256.0,1998-06-28,1998-06-28,255.0,256.0,F,"“And Manzanar, peering cautiously from his higher perch, saw bird’s-eye the inflation of thousands upon thousands of automotive airbags, bursting simultaneously everywhere from their pouches in steering wheels and glove compartments like white poppies in sudden bloom. All the airbags in L.A. ruptured forth, unfurled their white powdered wings against the barrage of bullets, and stunned the war to a dead stop.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,,
,"The Ultimate Wrestling Championship - (40, 232) (47, 256-263)",1998-06-28,1998-06-28,,"Bobby, Arcangel",,,1998-06-28,1998-06-28,,,F,"“Suddenly he makes her stop. It’s in Spanish this time. Lucha Libre. Gonna be The Ultimate Wrestling Championship. Some dude named El Gran Mojado. ”
/ “One of Arcangel’s many voices boomed from the speakers, “Ladies and gentlemen! Welcome to the Pacific Rim Auditorium here at the very Borders. (And you thought it was a giant bookstore. Ha!) It’s the Ultimate Wrestling Chammmpppionnnnshhhipppp! El Contrato Con América. Sponsored by a generous grant from the Ministry of Multicultures. Brought to you by the CIA, the PRI, the DEA, and the INS . . .”

/ “Pacific Rim Auditorium’s bigger than he thought. He’s late. People already packed in like pay-per-view.”
",,,,,,,,,,
,"Sol and Bobby reunite (Bobby catches Orange) (47, 261)",1998-06-28,1998-06-28,,"Arcangel, Bobby",,,1998-06-28,1998-06-28,,,F,"“There was the slightest moment of indecision, Bobby wondering how to keep the balloon and catch the orange. But the symphony of the moment spoke for itself as he released the balloon, letting it float into the spotlights, and caught the precious fruit in midair.”
/ “Enmascarado gives him the boy. Throws him an orange too. Sol wants the orange bad.”
",,,,,,,,,,
,"Buzzworm stops listening to the radio (48, 265)",1998-06-28,1998-06-28,,Buzzworm,265.0,265.0,1998-06-28,1998-06-28,265.0,265.0,F,“Buzzworm couldn’t get no satisfaction from radio like this. Only thing he noticed with the jumble was that radio was like one big love song. I love you. You love me. I love myself. We love us. We love the world. We love God. We love ourselves but hate some of you. I hate myself but would love you if. You screwed me and I’m learning to love me or that other one. I loved you so I killed you. Radio was more tripped up than his own mind. He pulled the plug.”,,,,,,,,,,
,"Bobby cuts the Orange (49, 267)",1998-06-28,1998-06-28,,Bobby,267.0,268.0,1998-06-28,1998-06-28,267.0,267.0,F,“Okay. Okay.” He cuts it”,,,,,,,,,,
,"Bobby lets go of the lines (49, 268)",1998-06-28,1998-06-28,,Bobby,268.0,268.0,1998-06-28,1998-06-28,268.0,268.0,F,"“Little by little the slack on the line’s gone. Thing’s stretching tight.”
",,,,,,,,,,
