Name,Color,HEX Code
Caddy,Cyan,#00FFFF
Quentin Compson III,Blue,#0000FF
Benjamin Compson,Yellow,#FFFF00
Dilsey,Green,#00FF00
Jason Compson,Red,#FF0000
Quentin Jr.,Magenta,#FF00FF
3rd-Person Narrator,Gray,#C0C0C0
