Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Essun,Damaya,Syenite,Alabaster,Hoa,Schaffa
23,Essun destroys Tirimo,2842-05-05,2842-05-05,T,Hoa,56,56,2844-01-01,2844-01-01,42,60,T,"Down below your feet and everyone else's, a shake begins.",Essun,T,F,F,F,F,F
23,Essun destroys Tirimo,2842-05-05,2842-05-05,T,Hoa,57,57,2844-01-01,2844-01-01,42,60,T,And then the valley floor splits open.,Essun,T,F,F,F,F,F
23,Essun destroys Tirimo,2842-05-05,2842-05-05,T,Hoa,58,58,2844-01-01,2844-01-01,42,60,T,It catches Rask first.,Essun,T,F,F,F,F,F
23,Essun destroys Tirimo,2842-05-05,2842-05-05,T,Hoa,59,59,2844-01-01,2844-01-01,42,60,T,People run out into the streets...,Essun,T,F,F,F,F,F
24,Essun meets Hoa,2842-05-06,2842-05-06,T,Hoa,80,80,2844-01-01,2844-01-01,77,83,T,Someone else.,Essun and Hoa,T,F,F,F,T,F
24,Essun meets Hoa,2842-05-06,2842-05-06,T,Hoa,81,81,2844-01-01,2844-01-01,77,83,T,"""Hello,"" he says.",Essun and Hoa,T,F,F,F,T,F
25,Hoa tells Essun he knows where Nassun is,2842-05-07,2842-05-07,T,Hoa,113,113,2844-01-01,2844-01-01,105,115,T,"""She's very strong.""",Essun and Hoa,T,F,F,F,T,F
26,Essun and Hoa meet Tonkee,2842-05-09,2842-05-09,T,Hoa,178,178,2844-01-01,2844-01-01,172,190,T,Then you see a woman.,Essun and Hoa,T,F,F,F,T,F
27,Hoa finds Castrima,2842-07-01,2842-07-01,T,Hoa,264,264,2844-01-01,2844-01-01,264,276,T,"You reach ""the place with all the orogenes...""",Essun and Hoa,T,F,F,F,T,F
28,Tonkee reveals herself as Binof to Essun,2842-07-02,2842-07-02,T,Hoa,388,388,2844-01-01,2844-01-01,388,412,T,Who is not Tonkee.,Essun,T,F,F,F,F,F
28,Tonkee reveals herself as Binof to Essun,2842-07-02,2842-07-02,T,Hoa,389,389,2844-01-01,2844-01-01,388,412,T,"""Binof. Leadership. Yumenes.""",Essun,T,F,F,F,F,F
29,Tonkee reveals the truth about the obelisks to Essun,2842-07-02,2842-07-02,T,Hoa,391,391,2844-01-01,2844-01-01,388,412,T,"""It's where they built them.""",Essun,T,F,F,F,F,F
30,Hoa reveals he's a stone eater,2842-07-02,2842-07-02,T,Hoa,394,394,2844-01-01,2844-01-01,388,412,T,"""So you're a stone eater,"" you say.",Essun and Hoa,T,F,F,F,T,F
31,Essun reunites with Alabaster,2842-07-02,2842-07-02,T,Hoa,445,445,2844-01-01,2844-01-01,444,449,T,...a thing black figure...,"Alabaster, Essun, Hoa, and Syenite",T,F,T,T,T,F
32,Essun realizes Alabaster caused the fifth season,2842-07-02,2842-07-02,T,Hoa,448,448,2844-01-01,2844-01-01,444,449,T,"You don't want to understand, but you do.","Alabaster, Essun, Hoa, and Syenite",T,F,T,T,T,F
33,Hoa reveals he narrates Essun's chapters,2844-01-01,2844-01-01,T,Hoa,443,443,2844-01-01,2844-01-01,413,443,T,I told her that I was called Hoa.,"Essun, Hoa, and Syenite",T,F,T,F,T,F
