Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White men,Darlene,Pauline Breedlove,Pecola Breedlove,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Maureen Peal,Louis Junior,Geraldine,Soaphead Church,Pecola's Baby
4,"Cholly goes to find his Dad in Macon, and his Dad rejects him",1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),154,154,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,,,,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),115,115,,,,,,"""when the war ended Pauline was fifteen""(113), WWI ended in 1918, and Sammy is born in 1926",,T,,,,,T,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),114,114,,,,,,"""when the war ended Pauline was fifteen""(113), WWI ended in 1918, and Sammy is born in 1926",,T,,,,,T,,,,,,,,,,,
6,"Pauline and Cholly get married and move to Lorain, Ohio",1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,"""when the war ended Pauline was fifteen""(113), WWI ended in 1918, and Sammy is born in 1926",,T,,,,,T,,,,,,,,,,,
6,"Pauline and Cholly get married and move to Lorain, Ohio",1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),116,116,,,,,,"""when the war ended Pauline was fifteen""(113), WWI ended in 1918, and Sammy is born in 1926",,T,,,,,T,,,,,,,,,,,
5,Pauline and Cholly meet,1918-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,"""when the war ended Pauline was fifteen""(113), WWI ended in 1918, and Sammy is born in 1926",,T,,,,,T,,,,,,,,,,,
7,Pauline is 'educated' by the movies,1925-01-01,1926-01-01,T,3rd Person Narrator (The Bluest Eye),122,122,,,,,,"""There I was, five months pregnant, trying to look like Jean Harlow"" (123)",,,,,,,T,,,,,,,,,,,
9,Pauline starts working for the Fishers,1929-01-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),127,127,,,,,,"After Pecola is born and ""on a Saturday morning in October""(39) Claudia narrates about the Breedloves in the fall of 1940",,,,,,,T,,,,,,,,,,,
9,Pauline starts working for the Fishers,1929-01-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),128,128,,,,,,"After Pecola is born and ""on a Saturday morning in October""(39) Claudia narrates about the Breedloves in the fall of 1940",,,,,,,T,,,,,,,,,,,
13,Pauline and Cholly fight (about coal),1940-10-01,1940-10-01,T,3rd Person Narrator (The Bluest Eye),39,39,,,,,,"""on a Saturday morning in October"" (39)",,T,,,,,T,T,,,,,,,,,,
