Name,Color,HEX Code
Billy Peace,Magenta,#FF00FF
Corwin Peace,Cyan,#00FFFF
Doctor Cordelia Lochren,Green,#00FF00
Evelina Harp,Blue,#0000FF
Henri Peace,Orange,#FFA500
Judge Antone Bazil Coutts,Yellow,#FFFF00
Marn Wolde,Red,#FF0000
Seraph Milk,Violet,#8D01FF
Shamengwa Milk,Chartreuse,#C9FF00
SOLO Narrator,Gray,#D3D3D3
Warren Wolde,Black,#000000
