Character,Color,Hex Code
Evelina Harp,Blue,#00ffff
Judge Antone Bazil Coutts,Yellow,#ffe666
Marn Wolde,Red,#Db4105
Doctor Cordelia Lochren,Green,#a9d164
SOLO Narrator,,
Shamengwa Milk,Orange,#f7931e
Henri Peace,Pink,#ffa5b5
Billy Peace,Cyan,#66ffff
Corwin Peace,Magenta,#ff33cc
Seraph Milk ,Chartreuse,#ccdc29
Warren Wolde,Purple,#8762a6
