source,target,Char 1 Name,Char 2 Name,startPage,type,weight
10,19,Sylvie Beaudoin,"""grade three classmates"" (24)",24,Undirected,1
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,24,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,24,Undirected,1
10,20,Sylvie Beaudoin,Mrs. Falls,24,Undirected,1
19,20,"""grade three classmates"" (24)",Mrs. Falls,24,Undirected,1
16,19,The doctor at the walk-in clinic,"""grade three classmates"" (24)",24,Undirected,1
12,19,Johnny Beaudoin,"""grade three classmates"" (24)",24,Undirected,1
12,16,Johnny Beaudoin,The doctor at the walk-in clinic,24,Undirected,1
12,20,Johnny Beaudoin,Mrs. Falls,24,Undirected,1
11,16,Marie Beaudoin,The doctor at the walk-in clinic,24,Undirected,1
11,20,Marie Beaudoin,Mrs. Falls,24,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,24,Undirected,1
16,20,The doctor at the walk-in clinic,Mrs. Falls,24,Undirected,1
11,19,Marie Beaudoin,"""grade three classmates"" (24)",24,Undirected,1
22,23,"""Indian kids"" (26)",Children's Aid (25),25,Undirected,1
13,21,Mrs Abdul,Mrs. Rhodes,25,Undirected,1
10,22,Sylvie Beaudoin,"""Indian kids"" (26)",25,Undirected,1
11,21,Marie Beaudoin,Mrs. Rhodes,25,Undirected,1
21,23,Mrs. Rhodes,Children's Aid (25),25,Undirected,1
13,22,Mrs Abdul,"""Indian kids"" (26)",25,Undirected,1
11,22,Marie Beaudoin,"""Indian kids"" (26)",25,Undirected,1
13,23,Mrs Abdul,Children's Aid (25),25,Undirected,1
21,22,Mrs. Rhodes,"""Indian kids"" (26)",25,Undirected,1
10,13,Sylvie Beaudoin,Mrs Abdul,25,Undirected,1
11,23,Marie Beaudoin,Children's Aid (25),25,Undirected,1
10,21,Sylvie Beaudoin,Mrs. Rhodes,25,Undirected,1
11,13,Marie Beaudoin,Mrs Abdul,25,Undirected,1
10,23,Sylvie Beaudoin,Children's Aid (25),25,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,25,Undirected,1
11,13,Marie Beaudoin,Mrs Abdul,26,Undirected,1
13,24,Mrs Abdul,Mr. George,26,Undirected,1
13,21,Mrs Abdul,Mrs. Rhodes,26,Undirected,1
10,19,Sylvie Beaudoin,"""grade three classmates"" (24)",26,Undirected,1
11,21,Marie Beaudoin,Mrs. Rhodes,26,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,26,Undirected,1
10,13,Sylvie Beaudoin,Mrs Abdul,26,Undirected,1
13,19,Mrs Abdul,"""grade three classmates"" (24)",26,Undirected,1
11,19,Marie Beaudoin,"""grade three classmates"" (24)",26,Undirected,1
11,24,Marie Beaudoin,Mr. George,26,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,26,Undirected,1
12,21,Johnny Beaudoin,Mrs. Rhodes,26,Undirected,1
12,24,Johnny Beaudoin,Mr. George,26,Undirected,1
12,19,Johnny Beaudoin,"""grade three classmates"" (24)",26,Undirected,1
19,21,"""grade three classmates"" (24)",Mrs. Rhodes,26,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,26,Undirected,1
12,13,Johnny Beaudoin,Mrs Abdul,26,Undirected,1
10,21,Sylvie Beaudoin,Mrs. Rhodes,26,Undirected,1
10,24,Sylvie Beaudoin,Mr. George,26,Undirected,1
21,24,Mrs. Rhodes,Mr. George,26,Undirected,1
19,24,"""grade three classmates"" (24)",Mr. George,26,Undirected,1
10,27,Sylvie Beaudoin,Jonathon Beaudoin,27,Undirected,1
11,27,Marie Beaudoin,Jonathon Beaudoin,27,Undirected,1
11,24,Marie Beaudoin,Mr. George,27,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,27,Undirected,1
10,26,Sylvie Beaudoin,Michelle,27,Undirected,1
24,26,Mr. George,Michelle,27,Undirected,1
26,27,Michelle,Jonathon Beaudoin,27,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,27,Undirected,1
24,27,Mr. George,Jonathon Beaudoin,27,Undirected,1
10,24,Sylvie Beaudoin,Mr. George,27,Undirected,1
11,26,Marie Beaudoin,Michelle,27,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,27,Undirected,1
12,24,Johnny Beaudoin,Mr. George,27,Undirected,1
12,27,Johnny Beaudoin,Jonathon Beaudoin,27,Undirected,1
12,26,Johnny Beaudoin,Michelle,27,Undirected,1
11,27,Marie Beaudoin,Jonathon Beaudoin,28,Undirected,1
10,26,Sylvie Beaudoin,Michelle,28,Undirected,1
10,27,Sylvie Beaudoin,Jonathon Beaudoin,28,Undirected,1
11,26,Marie Beaudoin,Michelle,28,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,28,Undirected,1
26,27,Michelle,Jonathon Beaudoin,28,Undirected,1
13,26,Mrs Abdul,Michelle,29,Undirected,1
10,26,Sylvie Beaudoin,Michelle,29,Undirected,1
11,27,Marie Beaudoin,Jonathon Beaudoin,29,Undirected,1
10,13,Sylvie Beaudoin,Mrs Abdul,29,Undirected,1
11,13,Marie Beaudoin,Mrs Abdul,29,Undirected,1
11,26,Marie Beaudoin,Michelle,29,Undirected,1
26,27,Michelle,Jonathon Beaudoin,29,Undirected,1
13,27,Mrs Abdul,Jonathon Beaudoin,29,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,29,Undirected,1
10,27,Sylvie Beaudoin,Jonathon Beaudoin,29,Undirected,1
10,27,Sylvie Beaudoin,Jonathon Beaudoin,30,Undirected,1
11,27,Marie Beaudoin,Jonathon Beaudoin,30,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,30,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,30,Undirected,1
10,26,Sylvie Beaudoin,Michelle,30,Undirected,1
24,26,Mr. George,Michelle,30,Undirected,1
26,27,Michelle,Jonathon Beaudoin,30,Undirected,1
11,24,Marie Beaudoin,Mr. George,30,Undirected,1
24,27,Mr. George,Jonathon Beaudoin,30,Undirected,1
10,24,Sylvie Beaudoin,Mr. George,30,Undirected,1
11,26,Marie Beaudoin,Michelle,30,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,30,Undirected,1
12,26,Johnny Beaudoin,Michelle,30,Undirected,1
12,24,Johnny Beaudoin,Mr. George,30,Undirected,1
12,27,Johnny Beaudoin,Jonathon Beaudoin,30,Undirected,1
12,51,Johnny Beaudoin,Waleed Mohammed,31,Undirected,1
5,45,Hina Hassani,Jennifer Chan,31,Undirected,1
28,47,Bing/Bernard Espiritu,Helen Mckay,31,Undirected,1
29,76,Edna Espiritu,children in the community,31,Undirected,1
11,49,Marie Beaudoin,Liam Williams,31,Undirected,1
50,53,Amina Mohammed,Chloe Smith,31,Undirected,1
43,47,Lily Chan,Helen Mckay,31,Undirected,1
44,46,Aiden Chan,Finnegan Everson,31,Undirected,1
5,29,Hina Hassani,Edna Espiritu,31,Undirected,1
50,71,Amina Mohammed,Jane Fulton,31,Undirected,1
10,71,Sylvie Beaudoin,Jane Fulton,31,Undirected,1
47,51,Helen Mckay,Waleed Mohammed,31,Undirected,1
45,47,Jennifer Chan,Helen Mckay,31,Undirected,1
12,44,Johnny Beaudoin,Aiden Chan,31,Undirected,1
46,76,Finnegan Everson,children in the community,31,Undirected,1
57,76,parents in the community,children in the community,31,Undirected,1
12,53,Johnny Beaudoin,Chloe Smith,31,Undirected,1
10,53,Sylvie Beaudoin,Chloe Smith,31,Undirected,1
48,71,Sebastian Dennis,Jane Fulton,31,Undirected,1
44,53,Aiden Chan,Chloe Smith,31,Undirected,1
44,71,Aiden Chan,Jane Fulton,31,Undirected,1
28,43,Bing/Bernard Espiritu,Lily Chan,31,Undirected,1
48,76,Sebastian Dennis,children in the community,31,Undirected,1
5,50,Hina Hassani,Amina Mohammed,31,Undirected,1
11,45,Marie Beaudoin,Jennifer Chan,31,Undirected,1
46,51,Finnegan Everson,Waleed Mohammed,31,Undirected,1
12,28,Johnny Beaudoin,Bing/Bernard Espiritu,31,Undirected,1
29,44,Edna Espiritu,Aiden Chan,31,Undirected,1
50,76,Amina Mohammed,children in the community,31,Undirected,1
28,29,Bing/Bernard Espiritu,Edna Espiritu,31,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,31,Undirected,1
47,49,Helen Mckay,Liam Williams,31,Undirected,1
11,29,Marie Beaudoin,Edna Espiritu,31,Undirected,1
5,43,Hina Hassani,Lily Chan,31,Undirected,1
28,45,Bing/Bernard Espiritu,Jennifer Chan,31,Undirected,1
11,47,Marie Beaudoin,Helen Mckay,31,Undirected,1
43,45,Lily Chan,Jennifer Chan,31,Undirected,1
12,76,Johnny Beaudoin,children in the community,31,Undirected,1
28,49,Bing/Bernard Espiritu,Liam Williams,31,Undirected,1
10,76,Sylvie Beaudoin,children in the community,31,Undirected,1
5,47,Hina Hassani,Helen Mckay,31,Undirected,1
10,46,Sylvie Beaudoin,Finnegan Everson,31,Undirected,1
51,53,Waleed Mohammed,Chloe Smith,31,Undirected,1
57,71,parents in the community,Jane Fulton,31,Undirected,1
12,48,Johnny Beaudoin,Sebastian Dennis,31,Undirected,1
11,28,Marie Beaudoin,Bing/Bernard Espiritu,31,Undirected,1
28,44,Bing/Bernard Espiritu,Aiden Chan,31,Undirected,1
12,57,Johnny Beaudoin,parents in the community,31,Undirected,1
49,76,Liam Williams,children in the community,31,Undirected,1
5,51,Hina Hassani,Waleed Mohammed,31,Undirected,1
43,44,Lily Chan,Aiden Chan,31,Undirected,1
45,51,Jennifer Chan,Waleed Mohammed,31,Undirected,1
53,76,Chloe Smith,children in the community,31,Undirected,1
10,50,Sylvie Beaudoin,Amina Mohammed,31,Undirected,1
49,51,Liam Williams,Waleed Mohammed,31,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,31,Undirected,1
29,48,Edna Espiritu,Sebastian Dennis,31,Undirected,1
11,76,Marie Beaudoin,children in the community,31,Undirected,1
29,57,Edna Espiritu,parents in the community,31,Undirected,1
12,50,Johnny Beaudoin,Amina Mohammed,31,Undirected,1
5,44,Hina Hassani,Aiden Chan,31,Undirected,1
43,53,Lily Chan,Chloe Smith,31,Undirected,1
12,71,Johnny Beaudoin,Jane Fulton,31,Undirected,1
46,71,Finnegan Everson,Jane Fulton,31,Undirected,1
29,46,Edna Espiritu,Finnegan Everson,31,Undirected,1
43,49,Lily Chan,Liam Williams,31,Undirected,1
44,48,Aiden Chan,Sebastian Dennis,31,Undirected,1
44,57,Aiden Chan,parents in the community,31,Undirected,1
48,57,Sebastian Dennis,parents in the community,31,Undirected,1
29,53,Edna Espiritu,Chloe Smith,31,Undirected,1
45,49,Jennifer Chan,Liam Williams,31,Undirected,1
12,46,Johnny Beaudoin,Finnegan Everson,31,Undirected,1
29,71,Edna Espiritu,Jane Fulton,31,Undirected,1
51,76,Waleed Mohammed,children in the community,31,Undirected,1
5,49,Hina Hassani,Liam Williams,31,Undirected,1
43,51,Lily Chan,Waleed Mohammed,31,Undirected,1
10,48,Sylvie Beaudoin,Sebastian Dennis,31,Undirected,1
44,50,Aiden Chan,Amina Mohammed,31,Undirected,1
10,57,Sylvie Beaudoin,parents in the community,31,Undirected,1
47,76,Helen Mckay,children in the community,31,Undirected,1
46,53,Finnegan Everson,Chloe Smith,31,Undirected,1
48,50,Sebastian Dennis,Amina Mohammed,31,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,31,Undirected,1
50,57,Amina Mohammed,parents in the community,31,Undirected,1
45,50,Jennifer Chan,Amina Mohammed,31,Undirected,1
10,28,Sylvie Beaudoin,Bing/Bernard Espiritu,31,Undirected,1
29,51,Edna Espiritu,Waleed Mohammed,31,Undirected,1
45,76,Jennifer Chan,children in the community,31,Undirected,1
11,53,Marie Beaudoin,Chloe Smith,31,Undirected,1
5,12,Hina Hassani,Johnny Beaudoin,31,Undirected,1
46,50,Finnegan Everson,Amina Mohammed,31,Undirected,1
5,76,Hina Hassani,children in the community,31,Undirected,1
29,43,Edna Espiritu,Lily Chan,31,Undirected,1
11,71,Marie Beaudoin,Jane Fulton,31,Undirected,1
12,45,Johnny Beaudoin,Jennifer Chan,31,Undirected,1
10,29,Sylvie Beaudoin,Edna Espiritu,31,Undirected,1
47,48,Helen Mckay,Sebastian Dennis,31,Undirected,1
47,57,Helen Mckay,parents in the community,31,Undirected,1
28,53,Bing/Bernard Espiritu,Chloe Smith,31,Undirected,1
10,47,Sylvie Beaudoin,Helen Mckay,31,Undirected,1
44,49,Aiden Chan,Liam Williams,31,Undirected,1
44,76,Aiden Chan,children in the community,31,Undirected,1
51,57,Waleed Mohammed,parents in the community,31,Undirected,1
28,71,Bing/Bernard Espiritu,Jane Fulton,31,Undirected,1
