id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
101,"Knows of","Scout Finch","Dill's father","0","1","9","9"
102,"Knows","Jem Finch","Dill's father","0","1","9","9"
103,"Knows of","Scout Finch","Oliver Optic","0","1","9","9"
104,"Knows of","Dill Harris","Oliver Optic","0","1","9","9"
105,"Knows of","Jem Finch","Oliver Optic","0","1","9","9"
106,"Knows of","Scout Finch","Victor Appleton","0","1","9","9"
107,"Knows of","Jem Finch","Victor Appleton","0","1","9","9"
108,"Knows of","Dill Harris","Victor Appleton","0","1","9","9"
109,"Knows of","Scout Finch","Edgar Rice Burroughs","0","1","9","9"
110,"Knows of","Dill Harris","Edgar Rice Burroughs","0","1","9","9"
111,"Knows of","Jem Finch","Edgar Rice Burroughs","0","1","9","9"
112,"Knows of","Scout Finch","Tarzan","0","1","9","9"
113,"Knows of","Dill Harris","Tarzan","0","1","9","9"
114,"Knows of","Jem Finch","Tarzan","0","1","9","9"
115,"Knows of","Dill Harris","Mr. Crabtree (The Rover Boys)","0","1","9","9"
116,"Knows of","Scout Finch","Mr. Crabtree (The Rover Boys)","0","1","9","9"
117,"Knows of","Jem Finch","Mr. Crabtree (The Rover Boys)","0","1","9","9"
118,"Knows of","Scout Finch","Mr. Damon (Tom Swift)","0","1","10","10"
119,"Knows of","Dill Harris","Mr. Damon (Tom Swift)","0","1","10","10"
120,"Knows of","Jem Finch","Mr. Damon (Tom Swift)","0","1","10","10"
121,"Knows of","Scout Finch","Merlin","0","1","10","10"
122,"Knows of","Jem Finch","Merlin","0","1","10","10"
123,"Knows of","Jem Finch","Boo Radley","1","1","10","10"
124,"Knows of","Scout Finch","Boo Radley","1","1","10","19"
125,"Knows of","Dill Harris","Boo Radley","1","1","10","10"
126,"Knows of","Scout Finch","Crazy Addie","0","1","10","11"
127,"Knows of","Scout Finch","""A N***o"" (11)","0","1","11","11"
128,"Knows of","""A N***o"" (11)","Mr. Radley","1","1","11","11"
129,"Knows of","""A N***o"" (11)","Mrs. Radley","1","1","11","11"
130,"Knows of","""A N***o"" (11)","Boo Radley","1","1","11","11"
131,"Knows","Scout Finch","Mr. Radley","1","1","11","13"
132,"Knows","Jem Finch","Mr. Radley","1","1","11","11"
133,"Knows","Scout Finch","Mrs. Radley","1","1","11","13"
134,"Knows","Mrs. Radley","The Radleys' neighbours","1","1","11","11"
135,"Knows of","Scout Finch","The Radleys' neighbours","0","1","11","11"
136,"Knows","Mrs. Radley","Nathan Radley","1","1","11","15"
137,"Knows","Scout Finch","Nathan Radley","1","1","11","15"
138,"Knows","Mr. Radley","Nathan Radley","1","1","11","15"
139,"Knows","Boo Radley","Nathan Radley","1","1","11","15"
140,"Knows","Mr. Radley","Boo Radley","1","1","11","15"
141,"Knows","Mrs. Radley","Boo Radley","1","1","11","15"
142,"Knows","Mr. Radley","Mrs. Radley","1","1","11","15"
143,"Knows","Scout Finch","Atticus Finch","1","1","12","12"
144,"Exchange","Boo Radley","The Cunninghams","1","1","12","13"
145,"Exchange","Boo Radley","Mr. Conner","1","1","12","12"
146,"Exchange","The Cunninghams","Mr. Conner","1","1","12","12"
147,"Knows of","Scout Finch","The Cunninghams","1","1","12","13"
148,"Exchange","Boo Radley","John Taylor (Judge)","1","1","12","12"
149,"Exchange","The Cunninghams","John Taylor (Judge)","1","1","12","12"
150,"Exchange","John Taylor (Judge)","Mr. Conner","1","1","12","12"
151,"Exchange","Mr. Radley","John Taylor (Judge)","1","1","13","13"
152,"Knows","Mr. Radley","The Cunninghams","1","1","12","13"
153,"Knows","Atticus Finch","Mr. Radley","1","1","13","13"
154,"Knows","Atticus Finch","Mrs. Radley","1","1","13","13"
155,"Knows","Atticus Finch","Boo Radley","1","1","13","13"
156,"Knows","Atticus Finch","Nathan Radley","1","1","13","13"
157,"Exchange","Several people who see Boo","Boo Radley","1","1","13","13"
158,"Knows of","Scout Finch","Several people who see Boo","0","1","13","13"
159,"Knows of","Jem Finch","Several people who see Boo","0","1","13","13"
160,"Exchange","Jem Finch","Miss Stephanie Crawford","1","1","13","14"
161,"Knows","Scout Finch","Miss Stephanie Crawford","1","1","13","13"
162,"Knows","Miss Stephanie Crawford","Mr. Radley","1","1","13","14"
163,"Knows","Miss Stephanie Crawford","Mrs. Radley","1","1","13","14"
164,"Knows","Miss Stephanie Crawford","Boo Radley","1","1","13","14"
165,"Knows","Miss Stephanie Crawford","Nathan Radley","1","1","13","14"
166,"Exchange","Mr. Radley","Heck Tate","1","1","14","14"
167,"Exchange","Heck Tate","Boo Radley","1","1","14","14"
168,"Knows","Scout Finch","Heck Tate","1","1","14","14"
169,"Knows of","Jem Finch","Boo Radley","1","1","14","19"
170,"Knows","Scout Finch","Jem Finch","1","1","10","14"
171,"Exchange","Scout Finch","Jem Finch","1","1","15","19"
172,"Knows","Jem Finch","Mr. Radley","1","1","13","13"
173,"Exchange","Jem Finch","Mr. Radley","1","1","14","14"
174,"Knows","Jem Finch","Mr. Radley","1","1","15","15"
175,"Exchange","Scout Finch","Mr. Radley","1","1","14","14"
176,"Knows","Scout Finch","Mr. Radley","1","1","15","15"
177,"Exchange","Scout Finch","Miss Stephanie Crawford","1","1","14","14"
178,"Knows","Scout Finch","Nathan Radley","1","1","14","15"
179,"Knows","Jem Finch","Nathan Radley","1","1","14","15"
180,"Knows","Nathan Radley","Mr. Radley","1","1","14","15"
181,"Knows","Nathan Radley","Mrs. Radley","1","1","14","15"
182,"Knows","Boo Radley","Nathan Radley","1","1","14","15"
183,"Knows","Atticus Finch","Mr. Radley","1","1","15","15"
184,"Knows","Calpurnia","Mr. Radley","1","1","15","15"
185,"Exchange","Dr. Reynolds","Mr. Radley","1","1","15","15"
186,"Exchange","Dr. Reynolds","Mrs. Radley","1","1","15","15"
187,"Exchange","Dr. Reynolds","Nathan Radley","1","1","15","15"
188,"Exchange","Dr. Reynolds","Boo Radley","1","1","15","15"
189,"Exchange","Atticus Finch","Calpurnia","1","1","15","15"
190,"Exchange","Scout Finch","Calpurnia","1","1","15","15"
191,"Exchange","Jem Finch","Calpurnia","1","1","15","15"
192,"Knows of","Dill Harris","Mr. Radley","0","1","15","15"
193,"Knows of","Dill Harris","Nathan Radley","0","1","15","15"
194,"Knows of","Dill Harris","Boo Radley","0","1","15","19"
195,"Exchange","Jem Finch","Dill Harris","1","1","15","19"
196,"Exchange","Scout Finch","Dill Harris","1","1","15","19"
197,"Exchange","Scout Finch","Mrs. Radley","0","1","14","14"
198,"Knows","Jem Finch","Mrs. Radley","1","1","13","13"
199,"Knows of","Dill Harris","Mrs. Radley","0","1","13","15"
200,"Knows","Jem Finch","Miss Stephanie Crawford","1","1","16","16"
201,"Knows","Dill Harris","Miss Stephanie Crawford","1","1","16","16"
202,"Knows","Scout Finch","Miss Stephanie Crawford","1","1","16","16"
203,"Knows","Miss Stephanie Crawford","Boo Radley","1","1","16","16"
204,"Knows","Miss Rachel Haverford","Boo Radley","1","1","16","16"
205,"Knows","Scout Finch","Atticus Finch","1","1","17","17"
206,"Knows","Dill Harris","Atticus Finch","1","1","17","17"
207,"Knows","Jem Finch","Atticus Finch","1","1","17","17"
208,"Knows","Scout Finch","Dill Harris","1","2","20","20"
209,"Knows","Jem Finch","Dill Harris","1","2","20","20"
210,"Exchange","Scout Finch","Jem Finch","1","2","20","21"
211,"Exchange","Scout Finch","Atticus Finch","1","2","20","20"
212,"Exchange","Jem Finch","Atticus Finch","1","2","20","20"
213,"Knows of","Jem Finch","Tarzan","0","2","20","20"
214,"Knows of","Scout Finch","Tarzan","0","2","20","20"
215,"Knows of","Scout Finch","The first grade","0","2","20","21"
216,"Knows of","Jem Finch","The first grade","1","2","20","21"
217,"Exchange","Scout Finch","Miss Caroline Fisher","1","2","21","29"
218,"Exchange","Miss Caroline Fisher","The first grade","1","2","21","29"
219,"Exchange","Miss Maudie Atkinson","Miss Caroline Fisher","1","2","21","21"
220,"Exchange","Scout Finch","Miss Maudie Atkinson","1","2","21","21"
221,"Exchange","Jem Finch","Miss Maudie Atkinson","1","2","21","21"
222,"Exchange","Jem Finch","Miss Caroline Fisher","1","2","21","21"
223,"Knows of","The first grade","Republicans","0","2","21","21"
224,"Knows of","Scout Finch","Republicans","0","2","21","21"
225,"Knows of","Miss Caroline Fisher","Republicans","0","2","21","21"
226,"Knows of","Scout Finch","Professors","0","2","21","21"
227,"Knows of","The first grade","Professors","0","2","21","21"
228,"Knows","Miss Caroline Fisher","Atticus Finch","1","2","22","23"
229,"Knows","Scout Finch","Atticus Finch","1","2","22","24"
230,"Knows","Scout Finch","Jem Finch","1","2","22","22"
231,"Knows","Miss Caroline Fisher","Jem Finch","1","2","22","24"
232,"Knows of","The first grade","Atticus Finch","0","2","22","22"
233,"Knows of","The first grade","Jem Finch","1","2","22","24"
234,"Knows of","Scout Finch","Lorenzo Dow","0","2","23","23"
235,"Exchange","Scout Finch","Jem Finch","1","2","23","24"
236,"Exchange","Scout Finch","Dill Harris","0","2","24","24"
237,"Knows","Scout Finch","Calpurnia","1","2","24","25"
