,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
35,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],110,Exchange,Evelina Harp,Corwin Peace,1,The Burning Glare,14,14.0,
36,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],112,Knows,Evelina Harp,Other Children (in school with Evelina),1,The Burning Glare,14,14.0,
37,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],113,Knows of,Evelina Harp,Christ,0,The Burning Glare,14,14.0,
38,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],114,Exchange,Evelina Harp,Clemence Harp,1,The Burning Glare,15,15.0,
39,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15.0,
40,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],116,Knows of,Evelina Harp,Christ,0,The Burning Glare,15,15.0,
41,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,119,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,15,15.0,
42,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,120,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,15,15.0,
43,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,121,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,15,15.0,
44,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,124,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,16,16.0,
45,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,125,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,16,16.0,
46,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,126,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,16,16.0,
47,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,128,Knows of,Evelina Harp,Ott Black,0,Mustache Maude,16,16.0,
48,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,129,Knows of,Evelina Harp,Erling Nicolai Rolfsrud,0,Mustache Maude,16,16.0,
49,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,135,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,17,18.0,
50,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,136,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,17,17.0,
51,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,139,Knows of,Evelina Harp,The Lochren Murder,0,Mustache Maude,17,17.0,
52,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,140,Knows of,Evelina Harp,The Lochren Family,0,Mustache Maude,17,17.0,
53,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,145,Knows of,Evelina Harp,The Lynching,0,Mustache Maude,17,17.0,
54,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,146,Knows of,Evelina Harp,Holy Track,0,Mustache Maude,17,17.0,
55,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,147,Knows of,Evelina Harp,Asiginak,0,Mustache Maude,17,17.0,
56,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,148,Knows of,Evelina Harp,Cuthbert Peace,0,Mustache Maude,17,17.0,
57,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,232,Knows of,Evelina Harp,Frederic Vogeli,0,Mustache Maude,17,17.0,
58,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,234,Knows of,Evelina Harp,Oric Hoag,0,Mustache Maude,17,17.0,
59,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,235,Knows of,Evelina Harp,Eugene Wildstrand,0,Mustache Maude,17,17.0,
