source,target,type,weight,startPage,category
903,2510,directed,1,14,Exchange
899,1715,directed,1,14,Exchange
1715,899,directed,1,14,Exchange
899,1758,directed,1,14,Exchange
1758,899,directed,1,14,Exchange
903,1712,directed,1,14,Relationship
897,904,directed,1,14,Relationship
904,897,directed,1,14,Relationship
1713,904,directed,1,14,Relationship
1711,904,directed,1,14,Relationship
1710,904,directed,1,14,Relationship
1712,904,directed,1,14,Relationship
904,1712,directed,1,14,Relationship
903,904,directed,1,14,Relationship
904,903,directed,1,14,Relationship
730,1713,directed,1,14,Relationship
1713,730,directed,1,14,Relationship
897,1715,directed,1,14,Relationship
897,1758,directed,1,14,Relationship
897,899,directed,1,14,Relationship
897,896,directed,1,15,Exchange
896,897,directed,1,15,Exchange
899,1759,directed,1,15,Exchange
1759,899,directed,1,15,Exchange
899,904,directed,1,15,Exchange
904,899,directed,1,15,Exchange
899,903,directed,1,15,Exchange
903,899,directed,1,15,Exchange
897,1759,directed,1,15,Relationship
897,904,directed,1,15,Relationship
904,897,directed,1,15,Relationship
897,903,directed,1,15,Relationship
903,897,directed,1,15,Relationship
897,899,directed,1,15,Relationship
896,899,directed,1,15,Relationship
899,896,directed,1,15,Relationship
897,1713,directed,1,15,Relationship
897,1711,directed,1,15,Relationship
899,1713,directed,1,15,Relationship
1713,899,directed,1,15,Relationship
899,1711,directed,1,15,Relationship
1711,899,directed,1,15,Relationship
897,1712,directed,1,15,Relationship
1712,903,directed,1,15,Relationship
903,1712,directed,1,15,Relationship
896,903,directed,1,15,Relationship
896,1712,directed,1,15,Relationship
904,903,directed,1,16,Exchange
903,904,directed,1,16,Exchange
904,899,directed,1,16,Exchange
899,904,directed,1,16,Exchange
903,899,directed,1,16,Relationship
904,903,directed,1,17,Exchange
903,904,directed,1,17,Exchange
903,1713,directed,1,17,Relationship
1713,903,directed,1,17,Relationship
903,1711,directed,1,17,Relationship
1711,903,directed,1,17,Relationship
899,1714,directed,1,17,Relationship
1714,899,directed,1,17,Relationship
904,1713,directed,1,17,Relationship
1713,904,directed,1,17,Relationship
904,1711,directed,1,17,Relationship
1711,904,directed,1,17,Relationship
899,1713,directed,1,17,Relationship
1713,899,directed,1,17,Relationship
899,1711,directed,1,17,Relationship
1711,899,directed,1,17,Relationship
2511,899,directed,1,18,Exchange
899,2511,directed,1,18,Exchange
1711,1710,directed,1,18,Relationship
1710,1711,directed,1,18,Relationship
899,1712,directed,1,18,Relationship
1712,899,directed,1,18,Relationship
899,904,directed,1,18,Relationship
904,899,directed,1,18,Relationship
1711,904,directed,1,18,Relationship
904,1711,directed,1,18,Relationship
1713,904,directed,1,18,Relationship
904,1713,directed,1,18,Relationship
1712,904,directed,1,18,Relationship
897,1715,directed,1,19,Exchange
1715,897,directed,1,19,Exchange
902,897,directed,1,19,Relationship
897,902,directed,1,19,Relationship
903,1715,directed,1,19,Relationship
1715,903,directed,1,19,Relationship
902,901,directed,1,19,Relationship
901,902,directed,1,19,Relationship
902,1715,directed,1,19,Relationship
1715,902,directed,1,19,Relationship
901,1715,directed,1,19,Relationship
1715,901,directed,1,19,Relationship
1715,899,directed,1,19,Relationship
899,1715,directed,1,19,Relationship
897,899,directed,1,19,Relationship
