source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
6,8,Dill Harris,Jem Finch,Directed,1,15,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,15,Exchange,Scout Finch
5,24,Scout Finch,Calpurnia,Directed,1,15,Exchange,Scout Finch
24,5,Calpurnia,Scout Finch,Directed,1,15,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,16,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,16,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,16,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,16,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,16,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,16,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,17,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,17,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,17,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,17,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,17,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,17,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,18,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,18,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,18,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,18,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,18,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,18,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,19,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,19,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,19,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,19,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,19,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,19,Exchange,Scout Finch
5,9,Scout Finch,Atticus Finch,Directed,1,20,Exchange,Scout Finch
9,5,Atticus Finch,Scout Finch,Directed,1,20,Exchange,Scout Finch
