Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Essun,Damaya,Syenite,Alabaster,Hoa,Schaffa,,,,,,
1,Damaya almost kills Zab,01-01-2813,01-01-2813,T,3rd-Person,32,32,,,25,41,T,"""She almost killed a boy at school.""",F,T,F,F,F,F,,,,,,
1,Damaya almost kills Zab,01-01-2813,01-01-2813,T,3rd-Person,37,37,,,25,41,T,"It was after lunch, in the play-yard.",F,T,F,F,F,F,,,,,,
1,Damaya almost kills Zab,01-01-2813,01-01-2813,T,3rd-Person,38,38,,,25,41,T,"You almost killed me, she had seen there.",F,T,F,F,F,F,,,,,,
1,Damaya almost kills Zab,01-01-2813,01-01-2813,T,3rd-Person,96,96,,,84,104,T,"""At lunch. I was... A boy pushed me.""",F,T,F,F,F,F,,,,,,
2,Schaffa adopts Damaya,15-01-2813,15-01-2813,T,3rd-Person,30,30,,,25,41,T,"""...you'll be leaving with me.""",F,T,F,F,F,T,,,,,,
2,Schaffa adopts Damaya,15-01-2813,15-01-2813,T,3rd-Person,328,328,,,297,331,T,A chilly barn in the Nomidlats...,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,96,96,,,84,104,T,Schaffa puts a hand on hers...,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,97,97,,,84,104,T,Is that why his hand presses down on hers so hard?,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,98,98,,,84,104,T,...the skin tenting and purpled...,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,99,99,,,84,104,T,...the hand he's broken.,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,100,100,,,84,104,T,Her hand hurts.,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,102,102,,,84,104,T,Her hand.,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,103,103,,,84,104,T,"""...I will never hurt you again.""",F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,197,197,,,191,211,T,...a few broken bones...,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,325,325,,,297,331,T,...the bones that Schaffa broke...,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,326,326,,,297,331,T,Schaffa promised that he would hurt her only for good reason.,F,T,F,F,F,T,,,,,,
3,Schaffa breaks Damaya's hand,16-01-2813,16-01-2813,T,3rd-Person,415,415,,,413,443,T,Syenite's fingers twitch with remembered pain.,F,T,F,F,F,T,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,203,203,,,191,211,T,There's a girl among the loners that she's noticed.,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,204,204,,,191,211,T,"""Yeah,"" Crack says softly.",F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,205,205,,,191,211,T,"""I don't lose things.""",F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,206,206,,,191,211,T,"""They disappeared during the last shower...""",F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,207,207,,,191,211,T,Maxixe opens his hest along with the rest...,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,208,208,,,191,211,T,And then he points at Crack.,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,209,209,,,191,211,T,"He points at Maxixe, Jasper, and Crack.",F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,210,210,,,191,211,T,So after a while Crack shakes her head...,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,211,211,,,191,211,T,The other grits never give Damaya trouble again.,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,297,297,,,297,331,T,After Crack disappears...,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,307,307,,,297,331,T,Crack.,F,T,F,F,F,F,,,,,,
4,"Damaya, Crack, and Maxixe episode",16-07-2813,16-07-2813,T,3rd-Person,330,330,,,297,331,T,...what happened to Crack last year.,F,T,F,F,F,F,,,,,,
5,Damaya and Binof find the pit,16-07-2814,16-07-2814,T,3rd-Person,318,318,,,297,331,T,The tunnel opens out into a huge dark space.,F,T,F,F,F,F,,,,,,
5,Damaya and Binof find the pit,16-07-2814,16-07-2814,T,3rd-Person,319,319,,,297,331,T,Something like a mountain.,F,T,F,F,F,F,,,,,,
