Relative Order,Event Fame,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley,,,,,,
,Mr. Deas convinces Mr. Ewell to leave Helen Robinson alone,8/15/1935,8/15/1935,T,Scout,334,334,,,332,340,T,"He walked her the short way, by the Ewells'.",F,F,F,F,F,F,,,,,,
,Mr. Deas convinces Mr. Ewell to leave Helen Robinson alone,8/15/1935,8/15/1935,T,Scout,335,335,,,332,340,T,Helen reported no further trouble.,F,F,F,F,F,F,,,,,,
,Pageant,8/31/1935,8/31/1935,F,Scout,338,338,,,332,340,T,...there would be a pageant for the grown-ups...,T,T,F,F,F,F,,,,,,
,Pageant,8/31/1935,8/31/1935,F,Scout,339,339,,,332,340,T,...a pageant tonight...,T,T,F,F,F,F,,,,,,
,Pageant,8/31/1935,8/31/1935,F,Scout,345,345,,,341,357,T,"""A pageant.""",T,T,F,F,F,F,,,,,,
,Pageant,8/31/1935,8/31/1935,F,Scout,346,346,,,341,357,T,Mrs. Maycomb gave a thirty-minute description of Colonel Maycomb's exploits.,T,T,F,F,F,F,,,,,,
,Pageant,8/31/1935,8/31/1935,F,Scout,347,347,,,341,357,T,...I had ruined her pageant.,T,T,F,F,F,F,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,3,3,,,3,19,T,"When he was nearly thirteen, my brother Jem got his arm badly broken...",T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,351,351,,,341,357,T,"He was running, running towards us with no child's steps.",T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,352,352,,,341,357,T,He was carrying Jem.,T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,353,353,,,341,357,T,"""Someone's been after my children.""",T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,356,356,,,341,357,T,The man who brought Jem in...,T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,357,357,,,341,357,T,"Bob Ewell's [...] dead, Mr. Finch.",T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,358,358,,,358,362,T,"""He's dead all right,"" said Mr. Tate.",T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,361,361,,,358,362,T,...then somebody yanked Mr. Ewell down.,T,T,F,F,F,T,,,,,,
,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,8/31/1935,8/31/1935,F,Scout,362,362,,,358,362,T,"""Somebody was staggerin' around and pantin' and...""",T,T,F,F,F,T,,,,,,
,Scout meets Boo Radley,8/31/1935,8/31/1935,F,Scout,362,362,,,358,362,T,"As I said it, I half pointed to the man in the corner...",T,T,F,T,F,T,,,,,,
,Scout meets Boo Radley,8/31/1935,8/31/1935,F,Scout,363,363,,,363,370,T,"""Mr. Arthur, honey,"" said Atticus, gently correcting me.",T,T,F,T,F,T,,,,,,
,Scout meets Boo Radley,8/31/1935,8/31/1935,F,Scout,364,364,,,363,370,T,"""Come along, Mr. Arthur,"" I heard myself saying...",T,T,F,T,F,T,,,,,,
,Heck Tate concludes Mr. Ewell fell on his knife,8/31/1935,8/31/1935,F,Scout,366,366,,,363,370,T,"""Bob Ewell fell on his knife.""",T,T,F,F,F,T,,,,,,
,Heck Tate concludes Mr. Ewell fell on his knife,8/31/1935,8/31/1935,F,Scout,367,367,,,363,370,T,"""He'd flung Jem down...""",T,T,F,F,F,T,,,,,,
,Heck Tate concludes Mr. Ewell fell on his knife,8/31/1935,8/31/1935,F,Scout,368,368,,,363,370,T,"""God damn it, I'm not thinking of Jem!""",T,T,F,F,F,T,,,,,,
,Heck Tate concludes Mr. Ewell fell on his knife,8/31/1935,8/31/1935,F,Scout,369,369,,,363,370,T,"""Your boy never stabbed Bob Ewell,"" he said slowly...",T,T,F,F,F,T,,,,,,
,Heck Tate concludes Mr. Ewell fell on his knife,8/31/1935,8/31/1935,F,Scout,370,370,,,363,370,T,"""...Bob Ewell fell on his knife.""",T,T,F,F,F,T,,,,,,
