Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gurksy,238,0,2000-12-01,2001-01-31,238,238,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gurksy,240,0,2000-12-01,2001-01-31,240,240,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gurksy,8,0,2000-12-01,2001-01-31,3,13,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gurksy,129,0,2000-12-01,2001-01-31,119,129,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
12,Bruno dies,1941-07-01,1941-07-01,F,Leo Gurksy,249,0,2000-12-01,2001-01-31,248,250,T,"""He died on a July dat in 1941"" (249).",,,,,,,,,,,,,
13,Leo leaves foAmerica,1945-01-01,1945-10-31,T,Leo Gurksy,12,0,2000-12-01,2001-01-31,3,13,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,T,,,,,,,,,,
13,Leo leaves foAmerica,1945-01-01,1945-10-31,T,Leo Gurksy,4,0,2000-12-01,2001-01-31,3,13,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,T,,,,,,,,,,
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gurksy,18,0,2000-12-01,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gurksy,5,0,2000-12-01,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
16,Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,Leo Gurksy,226,0,2000-12-01,2001-01-31,226,226,T,Leo was 25 and Isaac was 5 (13); this event happened afteIsaac's 5th birthday and before Leo's 26th.,,T,T,,,,,,,,,,
16,Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,Leo Gurksy,13,0,2000-12-01,2001-01-31,3,13,T,Leo was 25 and Isaac was 5 (13); this event happened afteIsaac's 5th birthday and before Leo's 26th.,,T,T,,,,,,,,,,
