Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
13,Leo leaves foAmerica,1945-01-01,1945-10-31,T,Leo Gurksy,12,0,2000-01-12,2001-01-31,3,13,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",Leo Gursky,,T,,,,,,,,,,
13,Leo leaves foAmerica,1945-01-01,1945-10-31,T,Leo Gurksy,4,0,2000-01-12,2001-01-31,3,13,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",Leo Gursky,,T,,,,,,,,,,
15,Leo and Bruno reunite,1945-01-10,1998-01-01,T,Leo Gurksy,18,0,2000-01-12,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",Bruno and Leo Gursky,,T,,,,,,T,,,,
15,Leo and Bruno reunite,1945-01-10,1998-01-01,T,Leo Gurksy,5,0,2000-01-12,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",Bruno and Leo Gursky,,T,,,,,,T,,,,
16,Alma refuses Leo's proposal,1945-01-10,1946-08-18,T,Leo Gurksy,226,0,2000-01-12,2001-01-31,226,226,T,Leo was 25 and Isaac was 5 (13); this event happened afteIsaac's 5th birthday and before Leo's 26th.,Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
16,Alma refuses Leo's proposal,1945-01-10,1946-08-18,T,Leo Gurksy,13,0,2000-01-12,2001-01-31,3,13,T,Leo was 25 and Isaac was 5 (13); this event happened afteIsaac's 5th birthday and before Leo's 26th.,Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
15,Leo and Bruno reunite,1945-01-10,1998-01-01,T,Leo Gurksy,6,0,2000-01-12,2001-01-31,3,13,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",Bruno and Leo Gursky,,T,,,,,,T,,,,
20,Rosa destroys the manuscript of The History of Love,1954-01-09,1964-01-01,T,Leo Gurksy,248,0,2000-01-12,2001-01-31,248,250,T,This event happened aftethe publication of The History of Love; re: 1964.,Rosa Litvinoff,,,,,T,,,,,,,
20,Rosa destroys the manuscript of The History of Love,1954-01-09,1964-01-01,T,Leo Gurksy,122,0,2000-01-12,2001-01-31,119,129,T,This event happened aftethe publication of The History of Love; re: 1964.,Rosa Litvinoff,,,,,T,,,,,,,
20,Rosa destroys the manuscript of The History of Love,1954-01-09,1964-01-01,T,Leo Gurksy,121,0,2000-01-12,2001-01-31,119,129,T,This event happened aftethe publication of The History of Love; re: 1964.,Rosa Litvinoff,,,,,T,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,85,0,2000-01-12,2001-01-31,75,92,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",Alma Mereminski,T,,,,,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,168,0,2000-01-12,2001-01-31,160,169,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",Alma Mereminski,T,,,,,,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Leo Gurksy,163,0,2000-01-12,2001-01-31,160,169,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",Alma Mereminski,T,,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,9,0,2000-01-12,2001-01-31,3,13,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",Leo Gursky,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,209,0,2000-01-12,2001-01-31,208,212,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",Leo Gursky,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,167,0,2000-01-12,2001-01-31,160,169,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",Leo Gursky,,T,,,,,,,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gurksy,124,0,2000-01-12,2001-01-31,119,129,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",Leo Gursky,,T,,,,,,,,,,
37,Leo sends WORDS FOEVERYTHING to Isaac,2000-09-20,,T,Leo Gurksy,34,0,2000-01-12,2001-01-31,14,34,T,,Isaac Moritz and Leo Gursky,,T,,T,,,,,,,,
39,Isaac dies,2000-03-10,,T,Leo Gurksy,212,0,2000-01-12,2001-01-31,208,212,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",Isaac Moritz,,,,T,,,,,,,,
39,Isaac dies,2000-03-10,,T,Leo Gurksy,77,0,2000-01-12,2001-01-31,75,92,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",Isaac Moritz,,,,T,,,,,,,,
39,Isaac dies,2000-03-10,,T,Leo Gurksy,161,0,2000-01-12,2001-01-31,160,169,T,"He died the ""Tuesday night"" (77) before ""Saturday, Octobe7"" (80).",Isaac Moritz,,,,T,,,,,,,,
