Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Sasha,Bennie,Scotty,Lou,Rob,Lulu,,,,,,
4,Jocelyn meets Lou,4-1-1979,4-1-1979,T,Rhea,42,42,1-1-1977,6/31//1977,39,58,T,Jocelyn is waiting for Lou...,F,T,T,T,F,F,,,,,,
4,Jocelyn meets Lou,4-1-1979,4-1-1979,T,Rhea,43,43,1-1-1977,6/31//1977,39,58,T,"...she met the man, Lou",F,T,T,T,F,F,,,,,,
4,Jocelyn meets Lou,4-1-1979,4-1-1979,T,Jocelyn,87,87,9-1-2006,12-31-2006,84,91,T,...when I met Lou.,F,T,T,T,F,F,,,,,,
4,Jocelyn meets Lou,4-1-1979,4-1-1979,T,Jocelyn,91,91,9-1-2006,12-31-2006,84,91,T,"Looking for a ride, kiddo?",F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,48,48,1-1-1977,6/31//1977,39,58,T,Dirk Dirksen from the Man gave him a call,F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,49,49,1-1-1977,6/31//1977,39,58,T,...the Dildos gig at the Mab...,F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,51,51,1-1-1977,6/31//1977,39,58,T,The door guy at the Mab...,F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,52,52,1-1-1977,6/31//1977,39,58,T,When they start playing...,F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,53,53,1-1-1977,6/31//1977,39,58,T,...the music...,F,T,T,T,F,F,,,,,,
5,The Flaming Dildos play the Mab,5-1-1979,5-1-1979,T,Rhea,54,54,1-1-1977,6/31//1977,39,58,T,Everyone agrees the gig went well.,F,T,T,T,F,F,,,,,,
6,Sasha begins shoplifting,3-1-1983,3-1-1983,T,3rd-Person,194,194,2021-01-01,2031-12-31,186,207,T,She'd started shoplifting at thirteen...,T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,3rd-Person,13,13,2021-01-01,2031-12-31,186,207,T,...her travels...,T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,Rob,192,192,3-1-1993,3-1-1993,186,207,T,...she'd run away...,T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,Rob,194,194,3-1-1993,3-1-1993,186,207,T,In Naples...,T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,Rob,197,197,3-1-1993,3-1-1993,186,207,T,Drew knows nothing about how bad things were for Sasha in Naples...,T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,Rob,200,200,3-1-1993,3-1-1993,186,207,T,"""In Naples...""",T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,3rd-Person,213,213,2021-01-01,2031-12-31,208,233,T,"Sasha has disappeared two years ago, at seventeen.",T,F,F,F,F,F,,,,,,
7,Sasha runs away,6-1-1987,6-1-1987,T,3rd-Person,223,223,2021-01-01,2031-12-31,208,233,T,She had run away from home...,T,F,F,F,F,F,,,,,,
8,Rolph stops speaking to Lou and Jocelyn,6/31/1987,6/31/1987,T,Jocelyn,87,87,9-1-2006,12-31-2006,84,91,T,...Rolph wouldn't speak to me...,F,F,F,T,F,F,,,,,,
9,Ted meets Sasha in Naples,4-15-1989,4-15-1989,T,3rd-Person,215,215,2021-01-01,2031-12-31,208,233,T,Ted recognized the cigarette buyer as his niece.,T,F,F,F,F,F,,,,,,
9,Ted meets Sasha in Naples,4-15-1989,4-15-1989,T,3rd-Person,216,216,2021-01-01,2031-12-31,208,233,T,"""Is that?"" she stammered ""Uncle—""",T,F,F,F,F,F,,,,,,
9,Ted meets Sasha in Naples,4-15-1989,4-15-1989,T,3rd-Person,217,217,2021-01-01,2031-12-31,208,233,T,...he had located her daughter...,T,F,F,F,F,F,,,,,,
