Name,Color,HEX Code
Alma Singer,mint,#98FFB3
Alma Mereminski,lavender,#E6CCFF
Alma Singer,mint,#98FFB3
Bird,blue,#2891ff
Bird ,blue,#2891ff
Bruno,magenta,#FF00FF
Charlotte Singer,orange,#FFA500
David Singer,cyan,#00FFFF
Isaac Moritz,green,#00FF00
Jacob Marcus,green,#00FF00
Leo Gursky,red,#FF0000
Leo Gursky,red,#FF0000
Misha Shklovsky,chartreuse,#C9FF00
Rosa Litvinoff,salmon,#e5b4af
Zvi Litvinoff,yellow,#FFFF00
Zvi's narrator,gray,#C0C0C0
