Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,164,164,1936-07-30,1936-07-30,3,376,T,"""Old Bob Ewell accused him of rapin' his girl and' had him arrested an' put in jail—""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,223,223,1936-07-30,1936-07-30,3,376,T,"""Old Bob Ewell accused him of rapin' his girl and' had him arrested an' put in jail—""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,224,224,1936-07-30,1936-07-30,3,376,T,"""She was mighty banged up.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,225,225,1936-07-30,1936-07-30,3,376,T,"""I remember now, she was bunged up on the right side of her face...""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,226,226,1936-07-30,1936-07-30,3,376,T,"""...her arms were bruised, and she showed me her neck.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,230,230,1936-07-30,1936-07-30,3,376,T,"""...I heard Mayella screamin' like a stuck hog inside the house—""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,231,231,1936-07-30,1936-07-30,3,376,T,"""Well, I was sayin' Mayella was screamin fit to beat Jesus—""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,233,233,1936-07-30,1936-07-30,3,376,T,"""Yes, I did.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,234,234,1936-07-30,1936-07-30,3,376,T,"""I run in the house and she was lyin' on the floor squallin'—""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
6,Mayella is assaulted,1934-01-12,1934-01-12,T,Scout,235,235,1936-07-30,1936-07-30,3,376,T,"""Do you agree with his description of Mayella's injuries?""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
