Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,236,236,1936-07-30,1936-07-30,3,376,T,"""You heard it again, Mr. Ewell?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,237,237,1936-07-30,1936-07-30,3,376,T,Atticus was reaching into the inside pocket of his coat.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,238,238,1936-07-30,1936-07-30,3,376,T,"""About your writing with your left hand, are you ambidexterous, Mr. Ewell?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,239,239,1936-07-30,1936-07-30,3,376,T,But someone was booming again.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,240,240,1936-07-30,1936-07-30,3,376,T,"""Which porch?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,241,241,1936-07-30,1936-07-30,3,376,T,Mayella pointed to Tom Robinson.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,242,242,1936-07-30,1936-07-30,3,376,T,"""I don't remember too good...""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,243,243,1936-07-30,1936-07-30,3,376,T,"""Said I was nineteen, said it to the judge yonder.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,244,244,1936-07-30,1936-07-30,3,376,T,What on earth was her life like?,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,245,245,1936-07-30,1936-07-30,3,376,T,The witness frowned as if puzzled.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,246,246,1936-07-30,1936-07-30,3,376,T,"""When he's—riled, has he ever beaten you?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,247,247,1936-07-30,1936-07-30,3,376,T,"""One did not's enough,"" said Atticus serenely.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,248,248,1936-07-30,1936-07-30,3,376,T,"""No, I don't recollect if he hit me.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,249,249,1936-07-30,1936-07-30,3,376,T,"""Is this the man who raped you?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,250,250,1936-07-30,1936-07-30,3,376,T,"""Then he released your throat and hit you?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,251,251,1936-07-30,1936-07-30,3,376,T,"""Or didn't you scream until you saw your father in the window?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,252,252,1936-07-30,1936-07-30,3,376,T,"""It's time we all did. We'll take ten minutes.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,253,253,1936-07-30,1936-07-30,3,376,T,Presently Judge Taylor returned and climbed into his swivel chair.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,254,254,1936-07-30,1936-07-30,3,376,T,"Thomas Robinson reached around, ran his fingers under his left arm and lifted it.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,255,255,1936-07-30,1936-07-30,3,376,T,Jem said Atticus was showing the jury that Tom had nothing to hide.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,256,256,1936-07-30,1936-07-30,3,376,T,"Judge Taylor instinctively reached for his gavel, but let his hand fall","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,257,257,1936-07-30,1936-07-30,3,376,T,"""No suh, Mr. Finch, I never did. I wouldn't do that, suh.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,258,258,1936-07-30,1936-07-30,3,376,T,"""It seemed real quiet like, an' I didn't quite know why.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,259,259,1936-07-30,1936-07-30,3,376,T,"""Not the same chiffarobe you busted up?"" asked Atticus.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,260,260,1936-07-30,1936-07-30,3,376,T,"""Then what did she do?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,261,261,1936-07-30,1936-07-30,3,376,T,"""Tom, go back once more to Mr. Ewell,"" said Atticus.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,262,262,1936-07-30,1936-07-30,3,376,T,"""Go ahead, Mr. Gilmer.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,263,263,1936-07-30,1936-07-30,3,376,T,"""Yes, suh, I reckon so.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,264,264,1936-07-30,1936-07-30,3,376,T,"""Yes, suh.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,265,265,1936-07-30,1936-07-30,3,376,T,"""If you had a clear conscience, why were you scared?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,266,266,1936-07-30,1936-07-30,3,376,T,"""Dill, that's his job.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,267,267,1936-07-30,1936-07-30,3,376,T,"""Come on round here, son, I got something that'll settle your stomach.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,268,268,1936-07-30,1936-07-30,3,376,T,"""That's all I drink, most of the time.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,269,269,1936-07-30,1936-07-30,3,376,T,"""Things haven't caught up with that one's instincts yet.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,270,270,1936-07-30,1936-07-30,3,376,T,Atticus was halfway through his speech to the jury.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,271,271,1936-07-30,1936-07-30,3,376,T,"Atticus put his hands in his pockets, and as he returned to the jury...","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,272,272,1936-07-30,1936-07-30,3,376,T,"""What was the evidence of her offense?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,273,273,1936-07-30,1936-07-30,3,376,T,"""And so a quiet, respectable, humble N****...""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,274,274,1936-07-30,1936-07-30,3,376,T,"""I'm no idealist to believe firmly in the integrity of our courts and in the jury system...""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,275,275,1936-07-30,1936-07-30,3,376,T,"""In the name of God, do your duty.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,276,276,1936-07-30,1936-07-30,3,376,T,"Judge Taylor saw her and said, ""It's Calpurnia, isn't it?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,277,277,1936-07-30,1936-07-30,3,376,T,"""You've been here all afternoon?""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,278,278,1936-07-30,1936-07-30,3,376,T,Reverend Sykes had saved our places.,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,279,279,1936-07-30,1936-07-30,3,376,T,"""They moved around some when the jury went out,"" said Reverend Sykes.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,280,280,1936-07-30,1936-07-30,3,376,T,I looked down and saw Atticus strolling around...,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,281,281,1936-07-30,1936-07-30,3,376,T,"""Ain't it a long time?""I asked him.","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,282,282,1936-07-30,1936-07-30,3,376,T,"""Guilty...guilty...guilty...guilty...""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,283,283,1936-07-30,1936-07-30,3,376,T,"""Miss Jean Louise, stand up. Your father's passin'.""","Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
14,Tom Robinson's Trial,1935-08-15,1935-08-15,T,Scout,331,331,1936-07-30,1936-07-30,3,376,T,...coming out of the courthouse that night...,"Atticus, Dill, Jem, Scout, and Tom Robinson",T,T,T,T,T,F
15,Mr. Ewell spits in Atticus' face,1935-08-22,1935-08-22,T,Scout,291,291,1936-07-30,1936-07-30,3,376,T,"""I wish Bob Ewell wouldn't chew tobacco,"" was all Atticus said about it.",Atticus,F,F,F,T,F,F
15,Mr. Ewell spits in Atticus' face,1935-08-22,1935-08-22,T,Scout,292,292,1936-07-30,1936-07-30,3,376,T,"""When a man says he's gonna get you, looks like he means it.""",Atticus,F,F,F,T,F,F
15,Mr. Ewell spits in Atticus' face,1935-08-22,1935-08-22,T,Scout,293,293,1936-07-30,1936-07-30,3,376,T,"""...Bob Ewell, he got it all out of his system that morning.""",Atticus,F,F,F,T,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,305,305,1936-07-30,1936-07-30,3,376,T,Today Aunt Alexandra and her missionary circle...,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,306,306,1936-07-30,1936-07-30,3,376,T,"Immediately thereafter, the ladies adjourned for refreshments.",Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,307,307,1936-07-30,1936-07-30,3,376,T,It was customary for every circle hostess to invite her neighbors for refreshments...,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,308,308,1936-07-30,1936-07-30,3,376,T,"""Nome, I hadn't thought about it...""",Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,309,309,1936-07-30,1936-07-30,3,376,T,Mrs. Merriweather played her voice like an organ.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,310,310,1936-07-30,1936-07-30,3,376,T,Mrs. Merriweather turned back to her neighbor.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,311,311,1936-07-30,1936-07-30,3,376,T,I was reminded of the ancient little organ in the hapel at Finch's Landing.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,312,312,1936-07-30,1936-07-30,3,376,T,"""His food doesn't stick going down, does it?""",Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,313,313,1936-07-30,1936-07-30,3,376,T,But I was more at home in my father's world.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,314,314,1936-07-30,1936-07-30,3,376,T,The front door slammed and I heard Atticus's footsteps in the hall.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,315,315,1936-07-30,1936-07-30,3,376,T,Miss Maudie went to Calpurnia and united it.,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,316,316,1936-07-30,1936-07-30,3,376,T,I heard Miss Maudie breathing...,Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,317,317,1936-07-30,1936-07-30,3,376,T,"""Stop that shaking,"" commanded Miss Maudie, and I stopped",Scout,T,F,F,F,F,F
16,Scout attends Aunt Alexandra's missionary circle,1935-08-23,1935-08-23,T,Scout,318,318,1936-07-30,1936-07-30,3,376,T,"After all, if Aunt could be a lady at a time like this, so could I.",Scout,T,F,F,F,F,F
17,Tom Robinson is killed,1935-08-30,1935-08-30,T,Scout,315,315,1936-07-30,1936-07-30,3,376,T,"""Tom's dead.""","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
17,Tom Robinson is killed,1935-08-30,1935-08-30,T,Scout,321,321,1936-07-30,1936-07-30,3,376,T,Atticus told them what had happened.,"Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
17,Tom Robinson is killed,1935-08-30,1935-08-30,T,Scout,322,322,1936-07-30,1936-07-30,3,376,T,"To Maycomb, Tom's death was typical.","Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
17,Tom Robinson is killed,1935-08-30,1935-08-30,T,Scout,323,323,1936-07-30,1936-07-30,3,376,T,He likened Tom's death...,"Atticus, Scout, and Tom Robinson",T,F,F,T,T,F
18,Helen Robinson learns of Tom's death,1935-08-31,1935-08-31,T,Scout,321,321,1936-07-30,1936-07-30,3,376,T,"Helen said, ""'evenin', Mr. Finch, won't you have a seat?""","Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
18,Helen Robinson learns of Tom's death,1935-08-31,1935-08-31,T,Scout,322,322,1936-07-30,1936-07-30,3,376,T,"""Scout,"" said Dill, ""she just fell down in the dirt.""","Atticus, Dill, Jem, and Scout",T,T,T,T,F,F
19,WW2,1935-01-09,1935-01-09,T,Scout,327,327,1936-07-30,1936-07-30,3,376,T,"""...old Adolf Hitler has been after the Jews...""",Scout,T,F,F,F,F,F
19,WW2,1935-01-09,1935-01-09,T,Scout,329,329,1936-07-30,1936-07-30,3,376,T,...Elmer Davis would give us the latest on Hitler.,Scout,T,F,F,F,F,F
19,WW2,1935-01-09,1935-01-09,T,Scout,330,330,1936-07-30,1936-07-30,3,376,T,"Miss Gates said it was awful, Hitler doin' like he does...",Scout,T,F,F,F,F,F
20,Mr. Ewell infiltrates Judge Taylor's house,1935-01-08,1935-01-08,T,Scout,332,332,1936-07-30,1936-07-30,3,376,T,The second thing happened to Judge Taylor.,,F,F,F,F,F,F
20,Mr. Ewell infiltrates Judge Taylor's house,1935-01-08,1935-01-08,T,Scout,333,333,1936-07-30,1936-07-30,3,376,T,...the scratching noise was coming from the rear of the house.,,F,F,F,F,F,F
21,Mr. Deas convinces Mr. Ewell to leave Helen Robinson alone,1935-08-15,1935-08-15,T,Scout,333,333,1936-07-30,1936-07-30,3,376,T,"The third thing happened to Helen Robinson, Tom's widow.",,F,F,F,F,F,F
21,Mr. Deas convinces Mr. Ewell to leave Helen Robinson alone,1935-08-15,1935-08-15,T,Scout,334,334,1936-07-30,1936-07-30,3,376,T,"He walked her the short way, by the Ewells'.",,F,F,F,F,F,F
21,Mr. Deas convinces Mr. Ewell to leave Helen Robinson alone,1935-08-15,1935-08-15,T,Scout,335,335,1936-07-30,1936-07-30,3,376,T,Helen reported no further trouble.,,F,F,F,F,F,F
22,Pageant,1935-08-31,1935-08-31,F,Scout,338,338,1936-07-30,1936-07-30,3,376,T,...there would be a pageant for the grown-ups...,Jem and Scout,T,T,F,F,F,F
22,Pageant,1935-08-31,1935-08-31,F,Scout,339,339,1936-07-30,1936-07-30,3,376,T,...a pageant tonight...,Jem and Scout,T,T,F,F,F,F
22,Pageant,1935-08-31,1935-08-31,F,Scout,345,345,1936-07-30,1936-07-30,3,376,T,"""A pageant.""",Jem and Scout,T,T,F,F,F,F
22,Pageant,1935-08-31,1935-08-31,F,Scout,346,346,1936-07-30,1936-07-30,3,376,T,Mrs. Maycomb gave a thirty-minute description of Colonel Maycomb's exploits.,Jem and Scout,T,T,F,F,F,F
22,Pageant,1935-08-31,1935-08-31,F,Scout,347,347,1936-07-30,1936-07-30,3,376,T,...I had ruined her pageant.,Jem and Scout,T,T,F,F,F,F
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,3,3,1936-07-30,1936-07-30,3,376,T,"When he was nearly thirteen, my brother Jem got his arm badly broken...","Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,351,351,1936-07-30,1936-07-30,3,376,T,"He was running, running towards us with no child's steps.","Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,352,352,1936-07-30,1936-07-30,3,376,T,He was carrying Jem.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,353,353,1936-07-30,1936-07-30,3,376,T,"""Someone's been after my children.""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,356,356,1936-07-30,1936-07-30,3,376,T,The man who brought Jem in...,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,357,357,1936-07-30,1936-07-30,3,376,T,"Bob Ewell's [...] dead, Mr. Finch.","Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,358,358,1936-07-30,1936-07-30,3,376,T,"""He's dead all right,"" said Mr. Tate.","Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,361,361,1936-07-30,1936-07-30,3,376,T,...then somebody yanked Mr. Ewell down.,"Boo Radley, Jem, and Scout",T,T,F,F,F,T
23,Mr. Ewell attacks Jem and Scout; Boo Radley saves them,1935-08-31,1935-08-31,F,Scout,362,362,1936-07-30,1936-07-30,3,376,T,"""Somebody was staggerin' around and pantin' and...""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
24,Scout meets Boo Radley,1935-08-31,1935-08-31,F,Scout,362,362,1936-07-30,1936-07-30,3,376,T,"As I said it, I half pointed to the man in the corner...","Atticus, Boo Radley, Jem, and Scout",T,T,F,T,F,T
24,Scout meets Boo Radley,1935-08-31,1935-08-31,F,Scout,363,363,1936-07-30,1936-07-30,3,376,T,"""Mr. Arthur, honey,"" said Atticus, gently correcting me.","Atticus, Boo Radley, Jem, and Scout",T,T,F,T,F,T
24,Scout meets Boo Radley,1935-08-31,1935-08-31,F,Scout,364,364,1936-07-30,1936-07-30,3,376,T,"""Come along, Mr. Arthur,"" I heard myself saying...","Atticus, Boo Radley, Jem, and Scout",T,T,F,T,F,T
25,Heck Tate concludes Mr. Ewell fell on his knife,1935-08-31,1935-08-31,F,Scout,366,366,1936-07-30,1936-07-30,3,376,T,"""Bob Ewell fell on his knife.""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
25,Heck Tate concludes Mr. Ewell fell on his knife,1935-08-31,1935-08-31,F,Scout,367,367,1936-07-30,1936-07-30,3,376,T,"""He'd flung Jem down...""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
25,Heck Tate concludes Mr. Ewell fell on his knife,1935-08-31,1935-08-31,F,Scout,368,368,1936-07-30,1936-07-30,3,376,T,"""God damn it, I'm not thinking of Jem!""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
25,Heck Tate concludes Mr. Ewell fell on his knife,1935-08-31,1935-08-31,F,Scout,369,369,1936-07-30,1936-07-30,3,376,T,"""Your boy never stabbed Bob Ewell,"" he said slowly...","Boo Radley, Jem, and Scout",T,T,F,F,F,T
25,Heck Tate concludes Mr. Ewell fell on his knife,1935-08-31,1935-08-31,F,Scout,370,370,1936-07-30,1936-07-30,3,376,T,"""...Bob Ewell fell on his knife.""","Boo Radley, Jem, and Scout",T,T,F,F,F,T
