Name,Color,HEX Code
Billy Peace,salmon,#e5b4af
Corwin Peace,green,#00FF00
Doctor Cordelia Lochren,chartreuse,#C9FF00
Evelina Harp,blue,#2891ff
Henri Peace,magenta,#FF00FF
Judge Antone Bazil Coutts,yellow,#FFFF00
Lafayette Peace,cyan,#00FFFF
Marn Wolde,red,#FF0000
SOLO Narrator,gray,#C0C0C0
Seraph Milk,purple,#8D01FF
Shamengwa Milk,orange,#FFA500
Warren Wolde,violet,#bdb4f9
