Name,Color,HEX Code
3rd person ,gray,#C0C0C0
3rd-person,gray,#C0C0C0
Alla,maroon,#800000
Aloyna ,peach,#FFD1A6
Chegga ,purple,#8D01FF
Katya,teal,#008080
Ksyusha,blue,#2891ff
Lada,magenta,#FF00FF
Lilia,lavender,#E6CCFF
Marina,yellow,#FFFF00
Natasha,cyan,#00FFFF
Oksana,green,#00FF00
Olya,salmon,#e5b4af
Revmira ,orange,#FFA500
Sophia ,mint,#98FFB3
Valentina,red,#FF0000
Yegor,chartreuse,#C9FF00
