Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
7,Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,Leo Gursky,8,0,2000-10-01,2000-10-01,3,34,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,
7,Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,Leo Gursky,11,0,2000-10-01,2000-10-01,3,34,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,
7,Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,Leo Gursky,12,0,2000-10-01,2000-10-01,3,34,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,
16,Alma refuses Leo's proposal,1945-10-01,1946-08-18,T,Leo Gursky,13,0,2000-10-01,2000-10-01,3,34,T,Leo was 25 and Isaac was 5 (13); this event happened afteIsaac's 5th birthday and before Leo's 26th.,,T,T,,,,,,,,,,
8,Isaac is born,1940-10-08,1940-10-31,T,Leo Gursky,8,0,2000-10-01,2000-10-01,3,34,T,"Isaac was 60 when he died the Tuesday before Saturday, Octobe7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates foeach of theibirthdays.",,T,,,T,,,,,,,,
8,Isaac is born,1940-10-08,1940-10-31,T,Leo Gursky,13,0,2000-10-01,2000-10-01,3,34,T,"Isaac was 60 when he died the Tuesday before Saturday, Octobe7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates foeach of theibirthdays.",,T,,,T,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gursky,8,0,2000-10-01,2000-10-01,3,34,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Leo Gursky,11,0,2000-10-01,2000-10-01,3,34,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",,T,T,,,,,,,,,,
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gursky,5,0,2000-10-01,2000-10-01,3,34,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gursky,6,0,2000-10-01,2000-10-01,3,34,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
15,Leo and Bruno reunite,1945-10-01,1998-01-01,T,Leo Gursky,18,0,2000-10-01,2000-10-01,3,34,T,"This event happened afteAlma refuses Leo, but before the events of the book. Note: the date is closeto 1998 than 1945 because Bruno's ""haiwas white and thin"" (6).",,,T,,,,,,T,,,,
29,Leo begins to write again,1998-01-01,1998-12-31,T,Leo Gursky,9,0,2000-10-01,2000-10-01,3,34,T,"""A couple of months aftemy heart attack, fifty-seven years afteI'd given it up, I started to write again"" (9).",,,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gursky,7,0,2000-10-01,2000-10-01,3,34,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,,,T,,,,,,,,,,
5,Leo completes The History of Love,1940-01-27,1941-07-31,T,Leo Gursky,8,0,2000-10-01,2000-10-01,3,34,T,This event happened afteAlma leaves foAmerica and before Zvi leaves foChile.,,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gursky,8,0,2000-10-01,2000-10-01,3,34,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
11,Leo escapes the Nazis,1941-07-01,1945-02-28,T,Leo Gursky,12,0,2000-10-01,2000-10-01,3,34,T,"Leo ""spent three and a half years hiding"" (12).",,,T,,,,,,,,,,
13,Leo leaves for America,1945-01-01,1945-10-31,T,Leo Gursky,4,0,2000-10-01,2000-10-01,3,34,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,T,,,,,,,,,,
13,Leo leaves for America,1945-01-01,1945-10-31,T,Leo Gursky,12,0,2000-10-01,2000-10-01,3,34,T,"This event happened afteLeo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,T,,,,,,,,,,
37,Leo sends WORDS FOEVERYTHING to Isaac,2000-09-20,2000-09-20,T,Leo Gursky,34,0,2000-10-01,2000-10-01,3,34,T,,,,T,,T,,,,,,,,
