Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Sasha,Bennie,Scotty,Lou,Rob,Lulu
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,331,331,,,310,340,T,"if thr r childrn, thr mst b a fUtr, rt?","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,332,332,,,310,340,T,"Inside, Bennie and an old roadie...","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,333,333,,,310,340,T,"""The goon won.""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,334,334,,,310,340,T,...Alex made an effort to condult with his boss.,"Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,335,335,,,310,340,T,Scotty climbed onto the platform...,"Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,336,336,,,310,340,T,"""Eyes in My Head,"" ""X;s and O's,"" ""Who's Watching Hardest""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,337,337,,,310,340,T,"""It happens once in your life [...] an event like that.""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,338,338,,,310,340,T,"""Sasha. I haven't thought abotu her in a long time.""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,339,339,,,310,340,T,...he and Bennie Salazar.,"Bennie, Lulu, and Scotty",F,T,T,F,F,T
31,Alex works for Bennie,2020-03-01,2020-03-01,T,3rd-Person,340,340,,,310,340,T,"""You grew up, Alex,"" he said, ""just like the rest of us.""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
