Name,Color,HEX Code
Arcangel,magenta,#FF00FF
Bobby,yellow,#FFFF00
Buzzworm,blue,#2891ff
Emi,violet,#bdb4f9
Gabriel,red,#FF0000
Manzanar,salmon,#e5b4af
Rafaela,green,#00FF00
Sol,chartreuse,#C9FF00
The Orange,orange,#FFA500
