source,target,startPage,Character 1,Character 2,type,weight,category
903,2504,8,,,,,
898,907,8,,,,,
903,905,9,,,,,
903,907,9,,,,,
903,906,9,,,,,
904,905,9,,,,,
904,906,9,,,,,
904,907,9,,,,,
903,2504,9,,,,,
905,906,9,,,,,
905,907,9,,,,,
905,2504,9,,,,,
906,907,9,,,,,
906,2504,9,,,,,
907,2504,9,,,,,
899,2504,9,,,,,
903,904,9,,,,,
898,2504,9,,,,,
899,903,9,,,,,
899,904,9,,,,,
899,905,9,,,,,
899,906,9,,,,,
899,907,9,,,,,
898,907,9,,,,,
904,2504,9,,,,,
897,907,9,,,,,
897,2504,9,,,,,
898,899,9,,,,,
898,903,9,,,,,
898,904,9,,,,,
898,905,9,,,,,
898,906,9,,,,,
897,906,9,,,,,
897,899,9,,,,,
896,907,9,,,,,
897,898,9,,,,,
896,2504,9,,,,,
897,904,9,,,,,
897,903,9,,,,,
897,905,9,,,,,
896,903,9,,,,,
896,899,9,,,,,
896,906,9,,,,,
896,904,9,,,,,
896,905,9,,,,,
896,897,9,,,,,
896,898,9,,,,,
897,899,10,,,,,
896,899,10,,,,,
896,907,10,,,,,
896,897,10,,,,,
897,907,10,,,,,
896,906,10,,,,,
896,905,10,,,,,
896,904,10,,,,,
896,903,10,,,,,
897,903,10,,,,,
897,904,10,,,,,
897,905,10,,,,,
897,906,10,,,,,
907,899,10,,,,,
907,903,10,,,,,
907,904,10,,,,,
907,905,10,,,,,
907,906,10,,,,,
899,906,10,,,,,
903,906,10,,,,,
903,905,10,,,,,
903,904,10,,,,,
899,904,10,,,,,
899,905,10,,,,,
899,903,10,,,,,
904,906,10,,,,,
905,906,10,,,,,
904,905,10,,,,,
897,899,11,,,,,
897,903,11,,,,,
896,901,11,,,,,
897,905,11,,,,,
897,904,11,,,,,
896,907,11,,,,,
896,906,11,,,,,
896,905,11,,,,,
896,904,11,,,,,
896,903,11,,,,,
896,899,11,,,,,
896,897,11,,,,,
896,902,11,,,,,
897,906,11,,,,,
897,907,11,,,,,
897,902,11,,,,,
897,901,11,,,,,
899,903,11,,,,,
899,904,11,,,,,
899,905,11,,,,,
899,906,11,,,,,
899,907,11,,,,,
906,901,11,,,,,
905,901,11,,,,,
906,902,11,,,,,
906,907,11,,,,,
907,901,11,,,,,
907,902,11,,,,,
902,901,11,,,,,
903,901,11,,,,,
904,905,11,,,,,
904,906,11,,,,,
904,907,11,,,,,
904,902,11,,,,,
904,901,11,,,,,
905,906,11,,,,,
905,907,11,,,,,
905,902,11,,,,,
903,905,11,,,,,
903,902,11,,,,,
903,907,11,,,,,
903,906,11,,,,,
899,901,11,,,,,
903,904,11,,,,,
899,902,11,,,,,
1713,905,12,,,,,
1713,904,12,,,,,
1713,903,12,,,,,
1713,2508,12,,,,,
1713,2507,12,,,,,
1713,2506,12,,,,,
1713,2505,12,,,,,
1712,2509,12,,,,,
1712,907,12,,,,,
1712,906,12,,,,,
1712,905,12,,,,,
1712,904,12,,,,,
1712,903,12,,,,,
1712,2508,12,,,,,
1712,2507,12,,,,,
1712,2506,12,,,,,
2506,904,12,,,,,
2506,903,12,,,,,
2506,2508,12,,,,,
2506,2507,12,,,,,
2505,2509,12,,,,,
2505,907,12,,,,,
2505,906,12,,,,,
2505,905,12,,,,,
2505,904,12,,,,,
2505,903,12,,,,,
2505,2508,12,,,,,
2505,2507,12,,,,,
2505,2506,12,,,,,
1713,2509,12,,,,,
1713,907,12,,,,,
1713,906,12,,,,,
2508,907,12,,,,,
2508,906,12,,,,,
2508,905,12,,,,,
2508,904,12,,,,,
2508,903,12,,,,,
2507,2509,12,,,,,
2507,907,12,,,,,
2507,906,12,,,,,
2507,905,12,,,,,
2507,904,12,,,,,
2507,903,12,,,,,
2507,2508,12,,,,,
2506,2509,12,,,,,
2506,907,12,,,,,
2506,906,12,,,,,
2506,905,12,,,,,
907,2509,12,,,,,
906,2509,12,,,,,
906,907,12,,,,,
905,2509,12,,,,,
905,907,12,,,,,
905,906,12,,,,,
904,2509,12,,,,,
904,907,12,,,,,
904,906,12,,,,,
904,905,12,,,,,
903,2509,12,,,,,
903,907,12,,,,,
903,906,12,,,,,
903,905,12,,,,,
903,904,12,,,,,
2508,2509,12,,,,,
1712,2505,12,,,,,
1712,1713,12,,,,,
1711,2509,12,,,,,
1711,907,12,,,,,
1711,906,12,,,,,
1711,905,12,,,,,
1711,904,12,,,,,
1711,903,12,,,,,
1711,2508,12,,,,,
1711,2507,12,,,,,
1711,2506,12,,,,,
1711,2505,12,,,,,
1711,1713,12,,,,,
1711,1712,12,,,,,
1710,2509,12,,,,,
1710,907,12,,,,,
1710,906,12,,,,,
1710,905,12,,,,,
1710,904,12,,,,,
1710,903,12,,,,,
1710,2508,12,,,,,
1710,2507,12,,,,,
1710,2506,12,,,,,
1710,2505,12,,,,,
1710,1713,12,,,,,
1710,1712,12,,,,,
1710,1711,12,,,,,
902,2509,12,,,,,
902,907,12,,,,,
902,906,12,,,,,
902,905,12,,,,,
902,904,12,,,,,
902,903,12,,,,,
902,2508,12,,,,,
902,2507,12,,,,,
902,2506,12,,,,,
902,2505,12,,,,,
902,1713,12,,,,,
902,1712,12,,,,,
902,1711,12,,,,,
902,1710,12,,,,,
899,2509,12,,,,,
899,907,12,,,,,
899,906,12,,,,,
899,905,12,,,,,
899,904,12,,,,,
899,903,12,,,,,
899,2508,12,,,,,
899,2507,12,,,,,
899,2506,12,,,,,
899,2505,12,,,,,
899,1713,12,,,,,
899,1712,12,,,,,
899,1711,12,,,,,
899,1710,12,,,,,
899,902,12,,,,,
897,2509,12,,,,,
897,907,12,,,,,
897,906,12,,,,,
897,905,12,,,,,
897,904,12,,,,,
897,903,12,,,,,
897,2508,12,,,,,
897,2507,12,,,,,
897,2506,12,,,,,
897,2505,12,,,,,
897,1713,12,,,,,
897,1712,12,,,,,
897,1711,12,,,,,
897,1710,12,,,,,
897,902,12,,,,,
897,899,12,,,,,
897,903,13,,,,,
897,1712,13,,,,,
897,899,13,,,,,
897,904,13,,,,,
897,1711,13,,,,,
897,1713,13,,,,,
903,1712,13,,,,,
903,899,13,,,,,
903,904,13,,,,,
903,1711,13,,,,,
903,1713,13,,,,,
899,1711,13,,,,,
904,1713,13,,,,,
899,1713,13,,,,,
904,1711,13,,,,,
1711,1713,13,,,,,
1712,904,13,,,,,
1712,1711,13,,,,,
1712,1713,13,,,,,
1712,899,13,,,,,
899,904,13,,,,,
1715,1712,14,,,,,
904,1711,14,,,,,
1715,1758,14,,,,,
904,1715,14,,,,,
899,1711,14,,,,,
899,1710,14,,,,,
904,1710,14,,,,,
904,2510,14,,,,,
904,903,14,,,,,
904,1712,14,,,,,
904,1758,14,,,,,
2510,1710,14,,,,,
1710,1711,14,,,,,
2510,1711,14,,,,,
897,903,14,,,,,
897,2510,14,,,,,
896,1711,14,,,,,
897,899,14,,,,,
897,904,14,,,,,
897,1711,14,,,,,
897,1710,14,,,,,
899,904,14,,,,,
899,2510,14,,,,,
899,903,14,,,,,
899,1712,14,,,,,
899,1758,14,,,,,
899,1715,14,,,,,
903,1711,14,,,,,
903,1710,14,,,,,
903,2510,14,,,,,
1712,1711,14,,,,,
1712,1710,14,,,,,
1712,2510,14,,,,,
1712,903,14,,,,,
1758,1711,14,,,,,
1758,1710,14,,,,,
1758,2510,14,,,,,
1758,903,14,,,,,
1758,1712,14,,,,,
1715,1711,14,,,,,
1715,1710,14,,,,,
1715,2510,14,,,,,
1715,903,14,,,,,
730,896,14,,,,,
730,897,14,,,,,
730,1713,14,,,,,
730,1712,14,,,,,
730,1758,14,,,,,
730,1715,14,,,,,
730,904,14,,,,,
730,899,14,,,,,
730,2510,14,,,,,
730,903,14,,,,,
730,1710,14,,,,,
1713,904,14,,,,,
1713,899,14,,,,,
1713,897,14,,,,,
1713,896,14,,,,,
730,1711,14,,,,,
896,1758,14,,,,,
896,1712,14,,,,,
896,903,14,,,,,
896,2510,14,,,,,
896,1710,14,,,,,
896,1715,14,,,,,
896,899,14,,,,,
896,904,14,,,,,
1713,1712,14,,,,,
1713,1758,14,,,,,
1713,1715,14,,,,,
896,897,14,,,,,
1713,1711,14,,,,,
1713,1710,14,,,,,
1713,2510,14,,,,,
1713,903,14,,,,,
897,1715,14,,,,,
897,1758,14,,,,,
897,1712,14,,,,,
897,1711,15,,,,,
897,899,15,,,,,
897,904,15,,,,,
897,1712,15,,,,,
897,903,15,,,,,
896,1711,15,,,,,
896,1713,15,,,,,
896,1759,15,,,,,
896,904,15,,,,,
896,899,15,,,,,
896,903,15,,,,,
896,1712,15,,,,,
896,897,15,,,,,
1712,1713,15,,,,,
1712,1711,15,,,,,
1712,904,15,,,,,
903,1759,15,,,,,
903,1713,15,,,,,
903,1711,15,,,,,
903,904,15,,,,,
903,1712,15,,,,,
899,1759,15,,,,,
899,1713,15,,,,,
899,1711,15,,,,,
899,904,15,,,,,
899,1712,15,,,,,
899,903,15,,,,,
897,1759,15,,,,,
897,1713,15,,,,,
904,1711,15,,,,,
1713,1759,15,,,,,
1711,1713,15,,,,,
1711,1759,15,,,,,
1712,1759,15,,,,,
904,1713,15,,,,,
904,1759,15,,,,,
903,904,16,,,,,
899,903,16,,,,,
899,904,16,,,,,
899,1714,17,,,,,
899,903,17,,,,,
899,1711,17,,,,,
899,1713,17,,,,,
1711,1713,17,,,,,
899,904,17,,,,,
1714,904,17,,,,,
1714,903,17,,,,,
1713,904,17,,,,,
1713,903,17,,,,,
1713,1714,17,,,,,
1711,904,17,,,,,
1711,903,17,,,,,
1711,1714,17,,,,,
903,904,17,,,,,
899,1711,18,,,,,
899,1713,18,,,,,
904,1712,18,,,,,
899,1712,18,,,,,
899,2511,18,,,,,
899,904,18,,,,,
899,1710,18,,,,,
1712,1710,18,,,,,
1712,1713,18,,,,,
904,2511,18,,,,,
904,1711,18,,,,,
1712,2511,18,,,,,
1712,1711,18,,,,,
904,1713,18,,,,,
904,1710,18,,,,,
1711,1713,18,,,,,
2511,1710,18,,,,,
2511,1711,18,,,,,
2511,1713,18,,,,,
1713,1710,18,,,,,
1711,1710,18,,,,,
897,1715,19,,,,,
897,1759,19,,,,,
897,902,19,,,,,
897,899,19,,,,,
897,904,19,,,,,
897,901,19,,,,,
897,1716,19,,,,,
897,903,19,,,,,
897,905,19,,,,,
897,906,19,,,,,
897,907,19,,,,,
899,902,19,,,,,
899,1715,19,,,,,
899,1759,19,,,,,
899,904,19,,,,,
899,901,19,,,,,
899,1716,19,,,,,
899,903,19,,,,,
906,907,19,,,,,
905,907,19,,,,,
905,906,19,,,,,
903,907,19,,,,,
903,906,19,,,,,
903,905,19,,,,,
1716,907,19,,,,,
1716,906,19,,,,,
1716,905,19,,,,,
1716,903,19,,,,,
901,907,19,,,,,
901,906,19,,,,,
901,905,19,,,,,
901,903,19,,,,,
901,1716,19,,,,,
904,907,19,,,,,
904,906,19,,,,,
904,905,19,,,,,
904,903,19,,,,,
904,1716,19,,,,,
904,901,19,,,,,
1759,907,19,,,,,
1759,906,19,,,,,
1759,905,19,,,,,
1759,903,19,,,,,
1759,1716,19,,,,,
1759,901,19,,,,,
1759,904,19,,,,,
1715,907,19,,,,,
1715,906,19,,,,,
1715,905,19,,,,,
1715,903,19,,,,,
899,905,19,,,,,
899,906,19,,,,,
899,907,19,,,,,
902,1715,19,,,,,
902,1759,19,,,,,
902,904,19,,,,,
902,901,19,,,,,
902,1716,19,,,,,
902,903,19,,,,,
902,905,19,,,,,
902,906,19,,,,,
902,907,19,,,,,
1715,1759,19,,,,,
1715,904,19,,,,,
1715,901,19,,,,,
1715,1716,19,,,,,
899,2512,20,,,,,
899,1715,20,,,,,
899,1712,20,,,,,
897,1712,20,,,,,
897,1713,20,,,,,
897,1715,20,,,,,
897,2512,20,,,,,
897,903,20,,,,,
898,1712,20,,,,,
898,904,20,,,,,
898,899,20,,,,,
898,1715,20,,,,,
898,1713,20,,,,,
898,903,20,,,,,
898,2512,20,,,,,
899,903,20,,,,,
2512,1713,20,,,,,
2512,903,20,,,,,
1715,1713,20,,,,,
1715,903,20,,,,,
1715,2512,20,,,,,
1712,1713,20,,,,,
1712,903,20,,,,,
1712,2512,20,,,,,
1712,1715,20,,,,,
904,1713,20,,,,,
904,903,20,,,,,
904,2512,20,,,,,
897,904,20,,,,,
897,899,20,,,,,
897,898,20,,,,,
899,904,20,,,,,
904,1715,20,,,,,
904,1712,20,,,,,
899,1713,20,,,,,
903,1713,20,,,,,
906,1712,21,,,,,
903,1715,21,,,,,
903,1712,21,,,,,
903,906,21,,,,,
903,1716,21,,,,,
903,1759,21,,,,,
897,1715,21,,,,,
1712,1715,21,,,,,
897,903,21,,,,,
897,906,21,,,,,
897,1712,21,,,,,
897,1759,21,,,,,
1712,1759,21,,,,,
1716,1715,21,,,,,
1715,1759,21,,,,,
897,1716,21,,,,,
906,1759,21,,,,,
1712,1716,21,,,,,
906,1715,21,,,,,
906,1716,21,,,,,
1716,1759,21,,,,,
897,1715,22,,,,,
904,1715,22,,,,,
904,905,22,,,,,
903,906,22,,,,,
903,905,22,,,,,
903,1715,22,,,,,
903,907,22,,,,,
1711,906,22,,,,,
897,904,22,,,,,
897,903,22,,,,,
897,1713,22,,,,,
904,906,22,,,,,
897,905,22,,,,,
897,899,22,,,,,
897,1711,22,,,,,
899,907,22,,,,,
899,906,22,,,,,
899,905,22,,,,,
899,1715,22,,,,,
899,904,22,,,,,
899,903,22,,,,,
1713,907,22,,,,,
903,904,22,,,,,
1715,907,22,,,,,
904,907,22,,,,,
1715,906,22,,,,,
1715,905,22,,,,,
905,907,22,,,,,
905,906,22,,,,,
906,907,22,,,,,
1711,899,22,,,,,
1713,904,22,,,,,
1711,907,22,,,,,
1713,899,22,,,,,
1713,903,22,,,,,
1713,905,22,,,,,
1713,1715,22,,,,,
1711,905,22,,,,,
1713,906,22,,,,,
1711,903,22,,,,,
897,906,22,,,,,
1711,1713,22,,,,,
897,907,22,,,,,
1711,1715,22,,,,,
1711,904,22,,,,,
903,1715,23,,,,,
904,1715,23,,,,,
899,903,23,,,,,
903,904,23,,,,,
899,1715,23,,,,,
899,904,23,,,,,
904,1713,24,,,,,
899,1711,24,,,,,
899,1710,24,,,,,
899,1715,24,,,,,
904,1711,24,,,,,
904,1710,24,,,,,
904,1715,24,,,,,
904,1712,24,,,,,
903,1748,24,,,,,
903,1713,24,,,,,
903,1711,24,,,,,
903,1710,24,,,,,
903,1715,24,,,,,
903,1712,24,,,,,
903,904,24,,,,,
899,1748,24,,,,,
899,1713,24,,,,,
899,904,24,,,,,
899,903,24,,,,,
899,1712,24,,,,,
1711,1748,24,,,,,
1711,1713,24,,,,,
1710,1748,24,,,,,
1710,1713,24,,,,,
1710,1711,24,,,,,
1715,1748,24,,,,,
1715,1713,24,,,,,
1715,1711,24,,,,,
1715,1710,24,,,,,
1712,1748,24,,,,,
1712,1713,24,,,,,
1712,1711,24,,,,,
1712,1710,24,,,,,
1712,1715,24,,,,,
904,1748,24,,,,,
1713,1748,24,,,,,
903,1712,25,,,,,
903,1715,25,,,,,
1712,1715,25,,,,,
1715,1748,25,,,,,
1712,1748,25,,,,,
903,1748,25,,,,,
906,2515,26,,,,,
903,2515,26,,,,,
903,2514,26,,,,,
906,2514,26,,,,,
905,907,26,,,,,
905,2515,26,,,,,
905,2514,26,,,,,
905,906,26,,,,,
903,907,26,,,,,
901,1712,26,,,,,
899,901,26,,,,,
899,2515,26,,,,,
899,2514,26,,,,,
899,906,26,,,,,
899,905,26,,,,,
899,903,26,,,,,
899,902,26,,,,,
899,1712,26,,,,,
899,907,26,,,,,
903,906,26,,,,,
903,905,26,,,,,
902,907,26,,,,,
902,2515,26,,,,,
902,2514,26,,,,,
902,906,26,,,,,
902,905,26,,,,,
902,903,26,,,,,
1712,907,26,,,,,
1712,2515,26,,,,,
1712,2514,26,,,,,
1712,906,26,,,,,
1712,905,26,,,,,
1712,903,26,,,,,
1712,902,26,,,,,
901,907,26,,,,,
901,2515,26,,,,,
901,2514,26,,,,,
901,906,26,,,,,
