id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
752,"Knows","Saul Morrison (Big Boy's Father)","Bobo","1","III (BBLH)","37","38"
753,"Knows","Saul Morrison (Big Boy's Father)","Buck","0","III (BBLH)","37","40"
754,"Knows","Saul Morrison (Big Boy's Father)","Lester","0","III (BBLH)","37","40"
755,"Knows of","Saul Morrison (Big Boy's Father)","Old Man Harvey","0","III (BBLH)","37","45"
756,"Knows of","Saul Morrison (Big Boy's Father)","Jim Harvey","0","III (BBLH)","37","45"
757,"Knows","Saul Morrison (Big Boy's Father)","Brother Jenkins","1","III (BBLH)","38","39"
758,"Knows","Saul Morrison (Big Boy's Father)","Brother Sanders","1","III (BBLH)","38","39"
759,"Knows","Saul Morrison (Big Boy's Father)","Elder Peters","1","III (BBLH)","39","39"
761,"Knows","Lucy","Brother Jenkins","1","III (BBLH)","38","39"
762,"Knows","Lucy","Brother Sanders","1","III (BBLH)","38","39"
763,"Knows","Lucy","Elder Peters","1","Big Boy Leaves Home","39","39"
764,"Knows","Liza Morrison (Big Boy's Mother)","Buck","0","III (BBLH)","42","43"
765,"Knows","Liza Morrison (Big Boy's Mother)","Lester","0","III (BBLH)","42","43"
766,"Knows","Saul Morrison (Big Boy's Father)","Buck","0","III (BBLH)","42","43"
767,"Knows","Saul Morrison (Big Boy's Father)","Lester","0","III (BBLH)","42","43"
768,"Knows","Lucy","Elder Peters","1","III (BBLH)","39","39"
769,"Knows of","Saul Morrison (Big Boy's Father)","Bertha","0","III (BBLH)","37","45"
770,"Exchange","Saul Morrison (Big Boy's Father)","Brother Sanders","1","III (BBLH)","40","45"
771,"Knows of","Brother Sanders","Jim Harvey","0","III (BBLH)","40","45"
772,"Knows","Brother Sanders","Lucy","1","III (BBLH)","41","45"
773,"Knows","Brother Jenkins","Lucy","1","III (BBLH)","41","45"
774,"Exchange","Brother Sanders","Brother Jenkins","1","III (BBLH)","41","45"
775,"Knows","Saul Morrison (Big Boy's Father)","Lucy","1","III (BBLH)","41","45"
776,"Knows","Saul Morrison (Big Boy's Father)","Elder Peters","1","III (BBLH)","41","41"
777,"Knows","Brother Jenkins","Elder Peters","1","III (BBLH)","41","41"
778,"Knows","Lucy","Elder Peters","1","III (BBLH)","41","45"
779,"Knows","Brother Sanders","Elder Peters","1","III (BBLH)","41","41"
780,"Exchange","Brother Sanders","Elder Peters","1","III (BBLH)","42","44"
781,"Knows","Brother Sanders","Elder Peters","1","III (BBLH)","45","45"
782,"Exchange","Brother Jenkins","Elder Peters","1","Big Boy Leaves Home","42","43"
783,"Knows","Brother Jenkins","Elder Peters","1","III (BBLH)","42","44"
784,"Knows","Brother Jenkins","Jim Harvey","0","III (BBLH)","41","45"
785,"Knows of","Brother Sanders","White friends of the Harveys","0","III (BBLH)","40","45"
786,"Knows of","Brother Jenkins","White friends of the Harveys","0","III (BBLH)","41","45"
788,"Knows of","Lucy","White friends of the Harveys","0","III (BBLH)","37","45"
789,"Knows","Lucy","Buck","0","III (BBLH)","37","39"
790,"Knows","Lucy","Lester","1","III (BBLH)","37","39"
791,"Knows","Lucy","Buck","0","III (BBLH)","42","43"
792,"Knows","Lucy","Lester","0","III (BBLH)","42","43"
793,"Knows","Lucy","Bobo","1","III (BBLH)","37","39"
794,"Knows","Saul Morrison (Big Boy's Father)","Bobo","1","III (BBLH)","42","42"
795,"Knows","Liza Morrison (Big Boy's Mother)","Bobo","1","III (BBLH)","42","42"
796,"Knows","Liza Morrison (Big Boy's Mother)","Bobo","1","III (BBLH)","37","38"
797,"Knows","Brother Jenkins","Bobo","1","III (BBLH)","42","43"
798,"Knows","Brother Sanders","Bobo","1","III (BBLH)","42","43"
799,"Knows","Brother Jenkins","Buck","0","III (BBLH)","42","43"
800,"Knows","Brother Sanders","Lester","0","III (BBLH)","42","43"
801,"Knows","Brother Sanders","Buck","0","III (BBLH)","42","43"
802,"Knows","Brother Jenkins","Lester","0","III (BBLH)","42","43"
803,"Knows of","Lucy","Jim Harvey","0","III (BBLH)","41","45"
804,"Knows","Saul Morrison (Big Boy's Father)","Lucy","1","III (BBLH)","41","41"
805,"Exchange","Saul Morrison (Big Boy's Father)","Lucy","0","III (BBLH)","42","45"
806,"Knows of","Lucy","Old Man Harvey","0","III (BBLH)","37","38"
807,"Knows of","Lucy","Bertha","0","III (BBLH)","37","38"
808,"Knows of","Lucy","Jim Harvey","0","III (BBLH)","37","38"
809,"Knows of","Lucy","Bertha","0","III (BBLH)","41","45"
810,"Knows of","Lucy","Old Man Harvey","0","III (BBLH)","41","45"
811,"Knows of","Elder Peters","Old Man Harvey","0","III (BBLH)","42","45"
812,"Knows of","Elder Peters","Bertha","0","III (BBLH)","42","45"
813,"Knows of","Elder Peters","Jim Harvey","0","III (BBLH)","42","45"
814,"Knows","Brother Jenkins","Elder Peters","1","III (BBLH)","45","45"
815,"Exchange","Saul Morrison (Big Boy's Father)","Elder Peters","1","III (BBLH)","42","44"
816,"Knows","Saul Morrison (Big Boy's Father)","Elder Peters","1","III (BBLH)","45","45"
817,"Knows of","Brother Jenkins","Bertha","0","III (BBLH)","42","45"
818,"Knows of","Brother Sanders","Bertha","0","III (BBLH)","42","45"
819,"Knows of","Brother Jenkins","Old Man Harvey","0","III (BBLH)","42","45"
820,"Knows of","Brother Sanders","Old Man Harvey","0","III (BBLH)","42","45"
821,"Knows","Lucy","Bobo","1","III (BBLH)","42","43"
822,"Knows","Elder Peters","Bobo","1","III (BBLH)","42","43"
823,"Knows","Elder Peters","Buck","0","III (BBLH)","42","43"
824,"Knows","Elder Peters","Lester","0","III (BBLH)","42","43"
825,"Knows of","Elder Peters","White friends of the Harveys","0","III (BBLH)","43","45"
826,"Knows","Brother Sanders","Will Sanders","1","Big Boy Leaves Home","43","45"
827,"Knows of","Elder Peters","Will Sanders","1","III (BBLH)","44","45"
828,"Knows of","Brother Jenkins","Will Sanders","1","III (BBLH)","44","45"
829,"Knows of","Saul Morrison (Big Boy's Father)","Will Sanders","1","III (BBLH)","44","45"
830,"Knows","Brother Sanders","Will Sanders","1","III (BBLH)","43","45"
831,"Knows of","Lucy","Will Sanders","1","III (BBLH)","44","45"
832,"Knows","Brother Jenkins","Bobo","1","III (BBLH)","45","45"
833,"Knows","Brother Sanders","Bobo","1","III (BBLH)","45","45"
834,"Knows","Liza Morrison (Big Boy's Mother)","Bobo","1","III (BBLH)","45","45"
835,"Knows","Elder Peters","Bobo","1","III (BBLH)","45","45"
836,"Knows","Lucy","Bobo","1","III (BBLH)","45","45"
837,"Knows","Saul Morrison (Big Boy's Father)","Bobo","1","III (BBLH)","45","45"
838,"Knows of","Big Boy","""the old folks"" (45)","0","IV (BBLH)","45","45"
839,"Knows of","Big Boy","White friends of the Harveys","0","IV (BBLH)","46","47"
840,"Knows","Big Boy","Saul Morrison (Big Boy's Father)","1","IV (BBLH)","46","46"
841,"Knows","Big Boy","Will Sanders","1","IV (BBLH)","46","46"
842,"Knows","Big Boy","Bobo","1","IV (BBLH)","46","46"
843,"Knows","Big Boy","Buck","0","IV (BBLH)","46","46"
844,"Knows","Big Boy","Lester","0","IV (BBLH)","46","46"
845,"Knows","Big Boy","Bobo","1","IV (BBLH)","48","59"
846,"Knows","Big Boy","Buck","0","IV (BBLH)","48","50"
847,"Knows","Big Boy","Lester","0","IV (BBLH)","48","50"
848,"Knows of","Big Boy","Casey Jones","0","IV (BBLH)","48","48"
849,"Knows","Brother Jenkins","God","1","III (BBLH)","43","45"
850,"Knows","Brother Sanders","God","1","III (BBLH)","43","45"
851,"Knows","Elder Peters","God","1","III (BBLH)","43","45"
852,"Knows","Big Boy","God","1","IV (BBLH)","51","59"
853,"Knows","Big Boy","Jim Harvey","0","IV (BBLH)","49","59"
854,"Knows","Big Boy","Bertha","1","IV (BBLH)","49","59"
855,"Knows","Big Boy","Liza Morrison (Big Boy's Mother)","1","IV (BBLH)","49","49"
856,"Knows","Big Boy","Saul Morrison (Big Boy's Father)","1","IV (BBLH)","50","50"
857,"Knows","Big Boy","""white folks"" (abstract)","0","IV (BBLH)","50","51"
858,"Knows of","Big Boy","White friends of the Harveys","1","IV (BBLH)","51","58"
859,"Knows of","White friends of the Harveys","Bobo","1","IV (BBLH)","52","53"
860,"Exchange","White friends of the Harveys","Bobo","0","IV (BBLH)","54","58"
861,"Knows","White friends of the Harveys","Bertha","1","IV (BBLH)","52","52"
862,"Knows","White friends of the Harveys","Jim Harvey","0","IV (BBLH)","52","52"
863,"Knows of","White friends of the Harveys","Buck","0","IV (BBLH)","52","52"
864,"Knows of","White friends of the Harveys","Lester","0","IV (BBLH)","52","52"
865,"Knows","Big Boy","Buck","0","IV (BBLH)","52","52"
866,"Knows","Big Boy","Lester","0","IV (BBLH)","52","52"
867,"Knows of","White friends of the Harveys","White Women","0","IV (BBLH)","53","53"
868,"Knows of","Big Boy","White Women","0","IV (BBLH)","53","53"
869,"Knows","White friends of the Harveys","Jesus Christ","1","IV (BBLH)","52","52"
870,"Knows","Big Boy","Jesus Christ","1","IV (BBLH)","52","52"
