source,target,Character 1,Character 2,type,weight,startPage,OriginalstartPage,category
11,58,"""Indians"" (abstract)",Pole of Sagaween,Directed,0.1,31.7,317,Knows
11,14,"""Indians"" (abstract)",real Barbeau,Directed,0.1,31.7,317,Knows
11,2,"""Indians"" (abstract)",Sagaween (Laxsgiik),Directed,0.1,31.7,317,Knows
11,39,"""Indians"" (abstract)",Thunderbird,Directed,0.1,31.7,317,Knows
58,11,Pole of Sagaween,"""Indians"" (abstract)",Directed,0.1,31.7,317,Knows
58,14,Pole of Sagaween,real Barbeau,Directed,0.1,31.7,317,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,31.7,317,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,31.7,317,Knows
58,39,Pole of Sagaween,Thunderbird,Directed,0.1,31.7,317,Knows
14,11,real Barbeau,"""Indians"" (abstract)",Directed,0.1,31.7,317,Knows
14,58,real Barbeau,Pole of Sagaween,Directed,0.1,31.7,317,Knows
14,12,real Barbeau,residents of Git'iks,Directed,0.1,31.7,317,Knows
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,0.1,31.7,317,Knows
14,39,real Barbeau,Thunderbird,Directed,0.1,31.7,317,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,31.7,317,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,31.7,317,Knows
12,39,residents of Git'iks,Thunderbird,Directed,0.1,31.7,317,Knows
2,11,Sagaween (Laxsgiik),"""Indians"" (abstract)",Directed,0.1,31.7,317,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,31.7,317,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,31.7,317,Knows
39,58,Thunderbird,Pole of Sagaween,Directed,0.1,31.7,317,Knows
39,12,Thunderbird,residents of Git'iks,Directed,0.1,31.7,317,Knows
11,58,"""Indians"" (abstract)",Pole of Sagaween,Directed,0.1,31.8,318,Knows
11,14,"""Indians"" (abstract)",real Barbeau,Directed,0.1,31.8,318,Knows
11,2,"""Indians"" (abstract)",Sagaween (Laxsgiik),Directed,0.1,31.8,318,Knows
11,39,"""Indians"" (abstract)",Thunderbird,Directed,0.1,31.8,318,Knows
58,11,Pole of Sagaween,"""Indians"" (abstract)",Directed,0.1,31.8,318,Knows
58,14,Pole of Sagaween,real Barbeau,Directed,0.1,31.8,318,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,31.8,318,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,31.8,318,Knows
58,39,Pole of Sagaween,Thunderbird,Directed,0.1,31.8,318,Knows
14,11,real Barbeau,"""Indians"" (abstract)",Directed,0.1,31.8,318,Knows
14,58,real Barbeau,Pole of Sagaween,Directed,0.1,31.8,318,Knows
14,12,real Barbeau,residents of Git'iks,Directed,0.1,31.8,318,Knows
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,0.1,31.8,318,Knows
14,39,real Barbeau,Thunderbird,Directed,0.1,31.8,318,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,31.8,318,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,31.8,318,Knows
12,39,residents of Git'iks,Thunderbird,Directed,0.1,31.8,318,Knows
2,11,Sagaween (Laxsgiik),"""Indians"" (abstract)",Directed,0.1,31.8,318,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,31.8,318,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,31.8,318,Knows
39,58,Thunderbird,Pole of Sagaween,Directed,0.1,31.8,318,Knows
39,12,Thunderbird,residents of Git'iks,Directed,0.1,31.8,318,Knows
11,58,"""Indians"" (abstract)",Pole of Sagaween,Directed,0.1,31.9,319,Knows
11,14,"""Indians"" (abstract)",real Barbeau,Directed,0.1,31.9,319,Knows
11,2,"""Indians"" (abstract)",Sagaween (Laxsgiik),Directed,0.1,31.9,319,Knows
11,39,"""Indians"" (abstract)",Thunderbird,Directed,0.1,31.9,319,Knows
58,11,Pole of Sagaween,"""Indians"" (abstract)",Directed,0.1,31.9,319,Knows
58,14,Pole of Sagaween,real Barbeau,Directed,0.1,31.9,319,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,31.9,319,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,31.9,319,Knows
58,39,Pole of Sagaween,Thunderbird,Directed,0.1,31.9,319,Knows
14,11,real Barbeau,"""Indians"" (abstract)",Directed,0.1,31.9,319,Knows
14,58,real Barbeau,Pole of Sagaween,Directed,0.1,31.9,319,Knows
14,12,real Barbeau,residents of Git'iks,Directed,0.1,31.9,319,Knows
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,0.1,31.9,319,Knows
14,39,real Barbeau,Thunderbird,Directed,0.1,31.9,319,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,31.9,319,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,31.9,319,Knows
12,39,residents of Git'iks,Thunderbird,Directed,0.1,31.9,319,Knows
2,11,Sagaween (Laxsgiik),"""Indians"" (abstract)",Directed,0.1,31.9,319,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,31.9,319,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,31.9,319,Knows
39,58,Thunderbird,Pole of Sagaween,Directed,0.1,31.9,319,Knows
39,12,Thunderbird,residents of Git'iks,Directed,0.1,31.9,319,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33,330,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33,330,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33,330,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33,330,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33,330,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33,330,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33,330,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33,330,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33,330,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33,330,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.1,331,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.1,331,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.1,331,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.1,331,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.1,331,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.1,331,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.1,331,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.1,331,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.1,331,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.1,331,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.2,332,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.2,332,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.2,332,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.2,332,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.2,332,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.2,332,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.2,332,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.2,332,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.2,332,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.2,332,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.3,333,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.3,333,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.3,333,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.3,333,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.3,333,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.3,333,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.3,333,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.3,333,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.3,333,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.3,333,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.4,334,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.4,334,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.4,334,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.4,334,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.4,334,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.4,334,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.4,334,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.4,334,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.4,334,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.4,334,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.5,335,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.5,335,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.5,335,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.5,335,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.5,335,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.5,335,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.5,335,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.5,335,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.5,335,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.5,335,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.6,336,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.6,336,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.6,336,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.6,336,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.6,336,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.6,336,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.6,336,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.6,336,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.6,336,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.6,336,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.7,337,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.7,337,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.7,337,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.7,337,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.7,337,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.7,337,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.7,337,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.7,337,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.7,337,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.7,337,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.8,338,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.8,338,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.8,338,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.8,338,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.8,338,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.8,338,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.8,338,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.8,338,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.8,338,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.8,338,Knows
58,12,Pole of Sagaween,residents of Git'iks,Directed,0.1,33.9,339,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,33.9,339,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,33.9,339,Knows
12,58,residents of Git'iks,Pole of Sagaween,Directed,0.1,33.9,339,Knows
12,2,residents of Git'iks,Sagaween (Laxsgiik),Directed,0.1,33.9,339,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,33.9,339,Knows
2,12,Sagaween (Laxsgiik),residents of Git'iks,Directed,0.1,33.9,339,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,33.9,339,Knows
1,12,speaker Abel,residents of Git'iks,Directed,0.1,33.9,339,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,33.9,339,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39,390,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39,390,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39,390,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39,390,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39,390,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.1,391,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.1,391,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.1,391,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.1,391,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.1,391,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.2,392,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.2,392,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.2,392,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.2,392,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.2,392,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.3,393,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.3,393,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.3,393,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.3,393,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.3,393,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.4,394,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.4,394,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.4,394,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.4,394,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.4,394,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.5,395,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.5,395,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.5,395,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.5,395,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.5,395,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.6,396,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.6,396,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.6,396,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.6,396,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.6,396,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.7,397,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.7,397,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.7,397,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.7,397,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.7,397,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.8,398,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.8,398,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.8,398,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.8,398,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.8,398,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,39.9,399,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,39.9,399,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,39.9,399,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,39.9,399,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,39.9,399,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41,410,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41,410,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41,410,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41,410,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41,410,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.1,411,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.1,411,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.1,411,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.1,411,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.1,411,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.2,412,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.2,412,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.2,412,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.2,412,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.2,412,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.3,413,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.3,413,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.3,413,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.3,413,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.3,413,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.4,414,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.4,414,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.4,414,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.4,414,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.4,414,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.5,415,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.5,415,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.5,415,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.5,415,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.5,415,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.6,416,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.6,416,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.6,416,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.6,416,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.6,416,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.7,417,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.7,417,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.7,417,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.7,417,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.7,417,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.8,418,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.8,418,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.8,418,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.8,418,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.8,418,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,41.9,419,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,0.1,41.9,419,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,41.9,419,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,0.1,41.9,419,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,0.1,41.9,419,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43,430,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43,430,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43,430,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43,430,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43,430,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43,430,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43,430,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.1,431,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.1,431,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.1,431,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.1,431,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.1,431,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.1,431,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.1,431,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.2,432,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.2,432,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.2,432,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.2,432,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.2,432,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.2,432,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.2,432,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.3,433,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.3,433,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.3,433,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.3,433,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.3,433,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.3,433,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.3,433,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.4,434,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.4,434,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.4,434,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.4,434,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.4,434,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.4,434,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.4,434,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.5,435,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.5,435,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.5,435,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.5,435,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.5,435,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.5,435,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.5,435,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.6,436,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.6,436,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.6,436,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.6,436,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.6,436,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.6,436,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.6,436,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.7,437,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.7,437,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.7,437,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.7,437,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.7,437,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.7,437,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.7,437,Knows
13,15,Barton (Laxgibuu),fictional Barbeau,Directed,0.1,43.8,438,Knows
15,13,fictional Barbeau,Barton (Laxgibuu),Directed,0.1,43.8,438,Knows
15,58,fictional Barbeau,Pole of Sagaween,Directed,0.1,43.8,438,Knows
15,2,fictional Barbeau,Sagaween (Laxsgiik),Directed,0.1,43.8,438,Knows
58,15,Pole of Sagaween,fictional Barbeau,Directed,0.1,43.8,438,Knows
58,2,Pole of Sagaween,Sagaween (Laxsgiik),Directed,0.1,43.8,438,Knows
2,58,Sagaween (Laxsgiik),Pole of Sagaween,Directed,0.1,43.8,438,Knows
