source,target,Character 1,Character 2,type,weight,startPage,OriginalstartPage,category
54,3,"""ancestors of Eagles""","""Eagle-Raven clan""",Directed,0.1,5.1,51,Knows
54,20,"""ancestors of Eagles""","Laxgibuu (""Wolf clan"")",Directed,0.1,5.1,51,Knows of
55,54,"""ancestors of Wolves""","""ancestors of Eagles""",Directed,0.1,5.1,51,Knows
55,3,"""ancestors of Wolves""","""Eagle-Raven clan""",Directed,0.1,5.1,51,Knows of
55,20,"""ancestors of Wolves""","Laxgibuu (""Wolf clan"")",Directed,0.1,5.1,51,Knows
55,2,"""ancestors of Wolves""",Sagaween (Laxsgiik),Directed,0.1,5.1,51,Knows
3,54,"""Eagle-Raven clan""","""ancestors of Eagles""",Directed,0.1,5.1,51,Knows
3,55,"""Eagle-Raven clan""","""ancestors of Wolves""",Directed,0.1,5.1,51,Knows of
3,6,"""Eagle-Raven clan""","""Hladerh"" (Laxgibuu)",Directed,0.1,5.1,51,Knows
3,5,"""Eagle-Raven clan""","""Sispagut"" (Gisk'aast)",Directed,0.1,5.1,51,Knows
3,4,"""Eagle-Raven clan""","Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.1,51,Knows
3,2,"""Eagle-Raven clan""",Sagaween (Laxsgiik),Directed,0.1,5.1,51,Knows
6,3,"""Hladerh"" (Laxgibuu)","""Eagle-Raven clan""",Directed,0.1,5.1,51,Knows
6,5,"""Hladerh"" (Laxgibuu)","""Sispagut"" (Gisk'aast)",Directed,0.1,5.1,51,Knows
6,4,"""Hladerh"" (Laxgibuu)","Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.1,51,Knows
6,7,"""Hladerh"" (Laxgibuu)","Oyee (""Oyai"")",Directed,0.1,5.1,51,Knows of
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,0.1,5.1,51,Exchange
5,3,"""Sispagut"" (Gisk'aast)","""Eagle-Raven clan""",Directed,0.1,5.1,51,Knows
5,6,"""Sispagut"" (Gisk'aast)","""Hladerh"" (Laxgibuu)",Directed,0.1,5.1,51,Knows
5,4,"""Sispagut"" (Gisk'aast)","Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.1,51,Knows
