id_x,Event Name,Novel_x,Start Date,End Date,Duration,Preceding Event,Evidence,id_y,Narrator,Container,Start Page,End Page,TT Description,id,Novel_y,Start Date TT,End Date TT,Preceding t-t
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,447.0,Quentin Compson III (narrator),"June Second, 1910",94.0,94.0,Quentin sends his note to his father (June second 1910),23.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin writes notes to his father and Shreve (June second 1910)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,448.0,Quentin Compson III (narrator),"June Second, 1910",102.0,102.0,Quentin gives Shreve's note to Deacon (June second 1910),24.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin sends his note to his father (June second 1910)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,449.0,Quentin Compson III (narrator),"June Second, 1910",124.0,124.0,Quentin buys tire irons and hides them (June second 1910),25.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin gives Shreve's note to Deacon (June second 1910)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,450.0,Quentin Compson III (narrator),"June Second, 1910",174.0,174.0,Quentin dresses up (June second 1910),29.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin fights Gerald (June second 1910)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,354.0,Jason Compson IV (narrator),"April Sixth, 1928.",197.0,197.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,355.0,Jason Compson IV (narrator),"April Sixth, 1928.",233.0,233.0,Jason sees Quentin with the band member wearing the red tie (April sixth 1928),36.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928)
183,Benjamin's pasture sold so Quentin can go to Harvard,The Sound and the Fury,1909-00-00,1909-00-00,0,Patterson Affair,Dates collected from Ross and Polk,356.0,Jason Compson IV (narrator),"April Sixth, 1928.",262.0,262.0,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928),39.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason loses money at the stock market (April sixth 1928)
184,Caddy and Charlie hook up,The Sound and the Fury,1909-00-00,1909-00-00,0,Benjamin's pasture sold so Quentin can go to Harvard,Dates collected from Ross and Polk,342.0,Benjamin Compson (narrator),"April Seventh, 1928",47.0,47.0,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)",41.0,The Sound and the Fury,1928-04-07,1928-04-07,"Luster looks for a quarter (April seventh, 1928)"
184,Caddy and Charlie hook up,The Sound and the Fury,1909-00-00,1909-00-00,0,Benjamin's pasture sold so Quentin can go to Harvard,Dates collected from Ross and Polk,343.0,Benjamin Compson (narrator),"April Seventh, 1928",48.0,48.0,"Benjy sees Quentin Jr. with the band member wearing the red tie in the swing (April seventh, 1928)",41.0,The Sound and the Fury,1928-04-07,1928-04-07,"Luster looks for a quarter (April seventh, 1928)"
184,Caddy and Charlie hook up,The Sound and the Fury,1909-00-00,1909-00-00,0,Benjamin's pasture sold so Quentin can go to Harvard,Dates collected from Ross and Polk,357.0,Jason Compson IV (narrator),"April Sixth, 1928.",229.0,229.0,Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928),35.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason forges a check (April sixth 1928)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",344.0,Benjamin Compson (narrator),"April Seventh, 1928",21.0,21.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",345.0,Benjamin Compson (narrator),"April Seventh, 1928",39.0,39.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",346.0,Benjamin Compson (narrator),"April Seventh, 1928",40.0,40.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",347.0,Benjamin Compson (narrator),"April Seventh, 1928",51.0,51.0,"Luster looks for a quarter (April seventh, 1928)",40.0,The Sound and the Fury,1928-04-07,1928-04-07,Jason goes home and Quentin speaks up about Jason following her in his car (April sixth 1928)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",508.0,Quentin Compson III (narrator),"June Second, 1910",77.0,77.0,Quentin breaks his watch (June second 1910),21.0,The Sound and the Fury,1910-06-02,1910-06-02,_NO PRECEDING TELLING TIME
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",507.0,Quentin Compson III (narrator),"June Second, 1910",81.0,81.0,Quentin writes notes to his father and Shreve (June second 1910),22.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin breaks his watch (June second 1910)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",509.0,Quentin Compson III (narrator),"June Second, 1910",93.0,93.0,Quentin sends his note to his father (June second 1910),23.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin writes notes to his father and Shreve (June second 1910)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",510.0,Quentin Compson III (narrator),"June Second, 1910",100.0,100.0,Quentin gives Shreve's note to Deacon (June second 1910),24.0,The Sound and the Fury,1910-06-02,1910-06-02,Quentin sends his note to his father (June second 1910)
193,Caddy and Herbert's Wedding,The Sound and the Fury,1910-04-25,1910-04-25,0,The night before Caddy's wedding and Quentin confronts Herbert Head,"Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)",360.0,Jason Compson IV (narrator),"April Sixth, 1928.",221.0,221.0,Jason gives his mother the forged check to burn and a letter from Uncle Maury (April sixth 1928),35.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason forges a check (April sixth 1928)
200,Caddy pays Jason to see Quentin Jr.,The Sound and the Fury,1912-00-00,1912-00-00,0,Jason Compson III's funeral,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",387.0,Jason Compson IV (narrator),"April Sixth, 1928.",203.0,203.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
200,Caddy pays Jason to see Quentin Jr.,The Sound and the Fury,1912-00-00,1912-00-00,0,Jason Compson III's funeral,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",388.0,Jason Compson IV (narrator),"April Sixth, 1928.",204.0,204.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
200,Caddy pays Jason to see Quentin Jr.,The Sound and the Fury,1912-00-00,1912-00-00,0,Jason Compson III's funeral,"Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)",389.0,Jason Compson IV (narrator),"April Sixth, 1928.",205.0,205.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
203,Caddy visits Jason's office,The Sound and the Fury,1912-00-00,1913-00-00,0,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows,"Occurs the day after the funeral: ""the next morning dam if she didn't walk right into the store, only she had sense enough to wear the veil and not speak to anybody. It was Saturday morning, because I was at the store, and she came right on back to the desk where I was, walking fast"" (205)",392.0,Jason Compson IV (narrator),"April Sixth, 1928.",205.0,205.0,Jason recieves Caddy's letter (April sixth 1928),32.0,The Sound and the Fury,1928-04-06,1928-04-06,Jason drives Quentin Jr. to school (April sixth 1928)
