Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),24.0,24.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),26.0,26.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),27.0,27.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),32.0,32.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),33.0,33.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),35.0,35.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),36.0,36.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),39.0,39.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),45.0,45.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),46.0,46.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),90.0,90.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),101.0,101.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
