Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,R Alma Mereminski,R Alma Mereminski's father,R Alma Mereminski's mother,R Leo Gursky,R Leo's father,R Leo's mother,R Zvi Litvinoff,R Isaac Moritz,R Rosa Litvinoff,R David Singer,R Bookstore owner (in Buenos Aires),R Charlotte Singer,R Bruno,R Alma Singer,R Misha Shklovsky,R Tatiana,R Uncle Julian,R Bird,R Doorman (Alma Mereminski's building),R Jacob Marcus,R Herman Cooper,R Bernard Moritz
5,R Leo completes The History of Love,1940-01-27,1941-07-31,T,R Leo (narrator),121.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,This event happened after Alma leaves for America and before Zvi leaves for Chile.,,,,,T,,,,,,,,,,,,,,,,,,
5,R Leo completes The History of Love,1940-01-27,1941-07-31,T,R Leo (narrator),244.0,0.0,2000-12-01,2001-01-31,244.0,244.0,T,This event happened after Alma leaves for America and before Zvi leaves for Chile.,,,,,T,,,,,,,,,,,,,,,,,,
6,R Zvi steals Leo's obituary,1940-01-27,1941-07-31,T,R Zvi's narrator,118.0,0.0,1980-01-01,0000-01-01,110.0,118.0,T,"This event happened after Alma leaves for America (and after Isaac Babel dies), and before Zvi leaves for Chile.",,,,,T,,,T,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Leo (narrator),12.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Alma (narrator),251.0,0.0,2000-10-21,2001-09-14,251.0,251.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Alma (narrator),171.0,0.0,2000-09-14,0000-01-01,171.0,171.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Leo (narrator),8.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Leo (narrator),11.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
7,R Alma Mereminski leaves for America,1940-02-01,1940-04-30,T,R Alma (narrator),140.0,0.0,2000-09-14,0000-01-01,140.0,141.0,T,"Isaac was born after Oct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",,T,,,,,,,,,,,,,,,,,,,,,
8,R Isaac is born,1940-10-08,1940-10-31,T,R Leo (narrator),164.0,0.0,2000-12-01,2001-01-31,160.0,169.0,T,"Isaac was 60 when he died the Tuesday before Saturday, October 7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates for each of their birthdays.",,T,,,,,,,T,,,,,,,,,,,,,,
8,R Isaac is born,1940-10-08,1940-10-31,T,R Leo (narrator),13.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Isaac was 60 when he died the Tuesday before Saturday, October 7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates for each of their birthdays.",,T,,,,,,,T,,,,,,,,,,,,,,
8,R Isaac is born,1940-10-08,1940-10-31,T,R Leo (narrator),8.0,0.0,2000-12-01,2001-01-31,75.0,92.0,T,"Isaac was 60 when he died the Tuesday before Saturday, October 7 (77, 80), and was probably conceived when both Alma and Leo ""were seventeen"" (11). This date range accommodates for each of their birthdays.",,T,,,,,,,T,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Zvi's narrator,55.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Zvi's narrator,110.0,0.0,1980-01-01,0000-01-01,110.0,118.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Zvi's narrator,154.0,0.0,1980-01-01,0000-01-01,153.0,159.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Alma (narrator),148.0,0.0,2000-09-14,0000-01-01,148.0,149.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Zvi's narrator,153.0,0.0,1980-01-01,0000-01-01,153.0,159.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Alma (narrator),141.0,0.0,2000-09-14,0000-01-01,140.0,141.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
9,R Zvi leaves for Chile with The History of Love,1941-01-01,1941-07-31,T,R Zvi's narrator,74.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",,,,,,,,T,,,,,,,,,,,,,,,
10,R The Nazis invade Slonim,1941-07-01,1941-07-31,T,R Alma (narrator),140.0,0.0,2000-09-14,0000-01-01,140.0,141.0,T,Google it.,,,,,,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),12.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
10,R The Nazis invade Slonim,1941-07-01,1941-07-31,T,R Leo (narrator),8.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,Google it.,,,,,,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),226.0,0.0,2000-12-01,2001-01-31,226.0,226.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
10,R The Nazis invade Slonim,1941-07-01,1941-07-31,T,R Leo (narrator),12.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,Google it.,,,,,,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),168.0,0.0,2000-12-01,2001-01-31,160.0,169.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
10,R The Nazis invade Slonim,1941-07-01,1941-07-31,T,R Zvi's narrator,155.0,0.0,1980-01-01,0000-01-01,153.0,159.0,T,Google it.,,,,,,,,,,,,,,,,,,,,,,,
10,R The Nazis invade Slonim,1941-07-01,1941-07-31,T,R Leo (narrator),168.0,0.0,2000-12-01,2001-01-31,160.0,169.0,T,Google it.,,,,,,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),238.0,0.0,2000-12-01,2001-01-31,238.0,238.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),240.0,0.0,2000-12-01,2001-01-31,240.0,240.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),8.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
11,R Leo escapes the Nazis,1941-07-01,1945-02-28,T,R Leo (narrator),129.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,"Leo ""spent three and a half years hiding"" (12).",,,,,T,,,,,,,,,,,,,,,,,,
12,R Bruno dies,1941-07-01,1941-07-01,F,R Leo (narrator),249.0,0.0,2000-12-01,2001-01-31,248.0,250.0,T,"""He died on a July dat in 1941"" (249).",,,,,,,,,,,,,,,,,,,,,,,
13,R Leo leaves for America,1945-01-01,1945-10-31,T,R Leo (narrator),12.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"This event happened after Leo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,,,T,,,,,,,,,,,,,,,,,,
13,R Leo leaves for America,1945-01-01,1945-10-31,T,R Leo (narrator),4.0,0.0,2000-12-01,2001-01-31,3.0,13.0,T,"This event happened after Leo spent ""three and a half years hiding"" (12) but before Isaac's 5th birthday.",,,,,T,,,,,,,,,,,,,,,,,,
14,R Zvi learns about his family's death,1945-09-02,1951-09-30,T,R Zvi's narrator,156.0,0.0,1980-01-01,0000-01-01,153.0,159.0,T,"This event probably happened after ""the War ended"" but before ""he turned thirty-two"" (156).",,,,,,,,T,,,,,,,,,,,,,,,
14,R Zvi learns about his family's death,1945-09-02,1951-09-30,T,R Zvi's narrator,68.0,0.0,1980-01-01,0000-01-01,65.0,74.0,T,"This event probably happened after ""the War ended"" but before ""he turned thirty-two"" (156).",,,,,,,,T,,,,,,,,,,,,,,,
