source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
91,71,"""two security guys"" (Lassimo Hotel)",Alex,Directed,1,11,Knows,[NULL]
74,91,Lassimo Hotel Concierge,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
71,91,Alex,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
66,91,Sasha,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
71,66,Alex,Sasha,Directed,1,11,Exchange,[NULL]
66,67,Sasha,Bennie Salazar,Directed,1,12,Knows,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,12,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,12,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,12,Knows,[NULL]
71,66,Alex,Sasha,Directed,1,12,Exchange,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,12,Knows,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,12,Exchange,[NULL]
67,66,Bennie Salazar,Sasha,Directed,1,12,Knows,[NULL]
66,71,Sasha,Alex,Directed,1,13,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,13,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,13,Exchange,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,13,Exchange,[NULL]
139,71,Robert Freeman Jr.,Alex,Directed,1,14,Knows of,[NULL]
139,66,Robert Freeman Jr.,Sasha,Directed,1,14,Knows,[NULL]
71,139,Alex,Robert Freeman Jr.,Directed,1,14,Knows of,[NULL]
66,93,Sasha,"""little girl's"" mother",Directed,1,14,Knows of,[NULL]
66,92,Sasha,"""little girl"" (scarf victim)",Directed,1,14,Knows of,[NULL]
92,93,"""little girl"" (scarf victim)","""little girl's"" mother",Directed,1,14,Knows,[NULL]
93,66,"""little girl's"" mother",Sasha,Directed,1,14,Knows of,[NULL]
92,66,"""little girl"" (scarf victim)",Sasha,Directed,1,14,Knows of,[NULL]
93,92,"""little girl's"" mother","""little girl"" (scarf victim)",Directed,1,14,Knows,[NULL]
66,139,Sasha,Robert Freeman Jr.,Directed,1,14,Knows,[NULL]
66,71,Sasha,Alex,Directed,1,14,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,14,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,15,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,15,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,15,Exchange,[NULL]
