source,target,Char 1 Name,Char 2 Name,startPage,type,weight
4,10,Mr. Bingley,Jane Bennet,132,Undirected,1
5,11,Mr. Darcy,Elizabeth Bennet,132,Undirected,1
7,11,Mr. Hurst,Elizabeth Bennet,132,Undirected,1
6,9,Mrs. Hurst,Mrs. Bennet,132,Undirected,1
16,20,Charlotte Lucas,Maria Lucas,133,Undirected,1
18,20,Lady Lucas,Maria Lucas,133,Undirected,1
21,22,Young Lucas,Lucas brothers,133,Undirected,1
4,21,Mr. Bingley,Young Lucas,133,Undirected,1
4,18,Mr. Bingley,Lady Lucas,133,Undirected,1
17,21,Mr. Collins,Young Lucas,133,Undirected,1
17,18,Mr. Collins,Lady Lucas,133,Undirected,1
19,21,Sir William Lucas,Young Lucas,133,Undirected,1
10,18,Jane Bennet,Lady Lucas,133,Undirected,1
11,17,Elizabeth Bennet,Mr. Collins,133,Undirected,1
10,21,Jane Bennet,Young Lucas,133,Undirected,1
11,20,Elizabeth Bennet,Maria Lucas,133,Undirected,1
16,19,Charlotte Lucas,Sir William Lucas,133,Undirected,1
16,22,Charlotte Lucas,Lucas brothers,133,Undirected,1
18,19,Lady Lucas,Sir William Lucas,133,Undirected,1
18,22,Lady Lucas,Lucas brothers,133,Undirected,1
20,22,Maria Lucas,Lucas brothers,133,Undirected,1
4,11,Mr. Bingley,Elizabeth Bennet,133,Undirected,1
4,17,Mr. Bingley,Mr. Collins,133,Undirected,1
4,20,Mr. Bingley,Maria Lucas,133,Undirected,1
10,11,Jane Bennet,Elizabeth Bennet,133,Undirected,1
17,20,Mr. Collins,Maria Lucas,133,Undirected,1
11,16,Elizabeth Bennet,Charlotte Lucas,133,Undirected,1
11,19,Elizabeth Bennet,Sir William Lucas,133,Undirected,1
10,17,Jane Bennet,Mr. Collins,133,Undirected,1
19,20,Sir William Lucas,Maria Lucas,133,Undirected,1
11,22,Elizabeth Bennet,Lucas brothers,133,Undirected,1
10,20,Jane Bennet,Maria Lucas,133,Undirected,1
16,21,Charlotte Lucas,Young Lucas,133,Undirected,1
16,18,Charlotte Lucas,Lady Lucas,133,Undirected,1
18,21,Lady Lucas,Young Lucas,133,Undirected,1
20,21,Maria Lucas,Young Lucas,133,Undirected,1
4,10,Mr. Bingley,Jane Bennet,133,Undirected,1
4,16,Mr. Bingley,Charlotte Lucas,133,Undirected,1
4,19,Mr. Bingley,Sir William Lucas,133,Undirected,1
4,22,Mr. Bingley,Lucas brothers,133,Undirected,1
17,19,Mr. Collins,Sir William Lucas,133,Undirected,1
17,22,Mr. Collins,Lucas brothers,133,Undirected,1
10,16,Jane Bennet,Charlotte Lucas,133,Undirected,1
11,21,Elizabeth Bennet,Young Lucas,133,Undirected,1
10,19,Jane Bennet,Sir William Lucas,133,Undirected,1
19,22,Sir William Lucas,Lucas brothers,133,Undirected,1
11,18,Elizabeth Bennet,Lady Lucas,133,Undirected,1
10,22,Jane Bennet,Lucas brothers,133,Undirected,1
16,17,Charlotte Lucas,Mr. Collins,133,Undirected,1
6,15,Mrs. Hurst,Miss Darcy,134,Undirected,1
3,4,Miss Bingley,Mr. Bingley,134,Undirected,1
4,6,Mr. Bingley,Mrs. Hurst,134,Undirected,1
3,10,Miss Bingley,Jane Bennet,134,Undirected,1
4,15,Mr. Bingley,Miss Darcy,134,Undirected,1
5,10,Mr. Darcy,Jane Bennet,134,Undirected,1
10,15,Jane Bennet,Miss Darcy,134,Undirected,1
6,11,Mrs. Hurst,Elizabeth Bennet,134,Undirected,1
4,5,Mr. Bingley,Mr. Darcy,134,Undirected,1
5,6,Mr. Darcy,Mrs. Hurst,134,Undirected,1
3,6,Miss Bingley,Mrs. Hurst,134,Undirected,1
4,11,Mr. Bingley,Elizabeth Bennet,134,Undirected,1
3,15,Miss Bingley,Miss Darcy,134,Undirected,1
5,15,Mr. Darcy,Miss Darcy,134,Undirected,1
10,11,Jane Bennet,Elizabeth Bennet,134,Undirected,1
6,10,Mrs. Hurst,Jane Bennet,134,Undirected,1
3,5,Miss Bingley,Mr. Darcy,134,Undirected,1
3,11,Miss Bingley,Elizabeth Bennet,134,Undirected,1
4,10,Mr. Bingley,Jane Bennet,134,Undirected,1
5,11,Mr. Darcy,Elizabeth Bennet,134,Undirected,1
11,15,Elizabeth Bennet,Miss Darcy,134,Undirected,1
6,12,Mrs. Hurst,Mary Bennet,135,Undirected,1
3,4,Miss Bingley,Mr. Bingley,135,Undirected,1
4,9,Mr. Bingley,Mrs. Bennet,135,Undirected,1
4,6,Mr. Bingley,Mrs. Hurst,135,Undirected,1
4,12,Mr. Bingley,Mary Bennet,135,Undirected,1
3,10,Miss Bingley,Jane Bennet,135,Undirected,1
12,13,Mary Bennet,Lydia Bennet,135,Undirected,1
5,13,Mr. Darcy,Lydia Bennet,135,Undirected,1
3,13,Miss Bingley,Lydia Bennet,135,Undirected,1
5,10,Mr. Darcy,Jane Bennet,135,Undirected,1
8,9,Mr. Bennet,Mrs. Bennet,135,Undirected,1
9,14,Mrs. Bennet,Kitty Bennet,135,Undirected,1
8,12,Mr. Bennet,Mary Bennet,135,Undirected,1
9,11,Mrs. Bennet,Elizabeth Bennet,135,Undirected,1
11,14,Elizabeth Bennet,Kitty Bennet,135,Undirected,1
10,12,Jane Bennet,Mary Bennet,135,Undirected,1
11,23,Elizabeth Bennet,Mr. Wickham,135,Undirected,1
13,14,Lydia Bennet,Kitty Bennet,135,Undirected,1
9,23,Mrs. Bennet,Mr. Wickham,135,Undirected,1
13,23,Lydia Bennet,Mr. Wickham,135,Undirected,1
6,11,Mrs. Hurst,Elizabeth Bennet,135,Undirected,1
6,8,Mrs. Hurst,Mr. Bennet,135,Undirected,1
6,14,Mrs. Hurst,Kitty Bennet,135,Undirected,1
6,23,Mrs. Hurst,Mr. Wickham,135,Undirected,1
4,5,Mr. Bingley,Mr. Darcy,135,Undirected,1
3,9,Miss Bingley,Mrs. Bennet,135,Undirected,1
5,6,Mr. Darcy,Mrs. Hurst,135,Undirected,1
4,8,Mr. Bingley,Mr. Bennet,135,Undirected,1
3,6,Miss Bingley,Mrs. Hurst,135,Undirected,1
3,12,Miss Bingley,Mary Bennet,135,Undirected,1
4,14,Mr. Bingley,Kitty Bennet,135,Undirected,1
4,11,Mr. Bingley,Elizabeth Bennet,135,Undirected,1
5,9,Mr. Darcy,Mrs. Bennet,135,Undirected,1
5,12,Mr. Darcy,Mary Bennet,135,Undirected,1
8,11,Mr. Bennet,Elizabeth Bennet,135,Undirected,1
9,10,Mrs. Bennet,Jane Bennet,135,Undirected,1
8,14,Mr. Bennet,Kitty Bennet,135,Undirected,1
4,23,Mr. Bingley,Mr. Wickham,135,Undirected,1
9,13,Mrs. Bennet,Lydia Bennet,135,Undirected,1
10,11,Jane Bennet,Elizabeth Bennet,135,Undirected,1
8,23,Mr. Bennet,Mr. Wickham,135,Undirected,1
10,14,Jane Bennet,Kitty Bennet,135,Undirected,1
11,13,Elizabeth Bennet,Lydia Bennet,135,Undirected,1
10,23,Jane Bennet,Mr. Wickham,135,Undirected,1
6,13,Mrs. Hurst,Lydia Bennet,135,Undirected,1
6,10,Mrs. Hurst,Jane Bennet,135,Undirected,1
3,5,Miss Bingley,Mr. Darcy,135,Undirected,1
3,11,Miss Bingley,Elizabeth Bennet,135,Undirected,1
12,14,Mary Bennet,Kitty Bennet,135,Undirected,1
4,10,Mr. Bingley,Jane Bennet,135,Undirected,1
3,8,Miss Bingley,Mr. Bennet,135,Undirected,1
3,14,Miss Bingley,Kitty Bennet,135,Undirected,1
5,11,Mr. Darcy,Elizabeth Bennet,135,Undirected,1
4,13,Mr. Bingley,Lydia Bennet,135,Undirected,1
12,23,Mary Bennet,Mr. Wickham,135,Undirected,1
5,8,Mr. Darcy,Mr. Bennet,135,Undirected,1
3,23,Miss Bingley,Mr. Wickham,135,Undirected,1
5,14,Mr. Darcy,Kitty Bennet,135,Undirected,1
14,23,Kitty Bennet,Mr. Wickham,135,Undirected,1
9,12,Mrs. Bennet,Mary Bennet,135,Undirected,1
8,10,Mr. Bennet,Jane Bennet,135,Undirected,1
5,23,Mr. Darcy,Mr. Wickham,135,Undirected,1
10,13,Jane Bennet,Lydia Bennet,135,Undirected,1
8,13,Mr. Bennet,Lydia Bennet,135,Undirected,1
11,12,Elizabeth Bennet,Mary Bennet,135,Undirected,1
6,9,Mrs. Hurst,Mrs. Bennet,135,Undirected,1
12,13,Mary Bennet,Lydia Bennet,136,Undirected,1
5,13,Mr. Darcy,Lydia Bennet,136,Undirected,1
5,10,Mr. Darcy,Jane Bennet,136,Undirected,1
8,9,Mr. Bennet,Mrs. Bennet,136,Undirected,1
9,14,Mrs. Bennet,Kitty Bennet,136,Undirected,1
8,12,Mr. Bennet,Mary Bennet,136,Undirected,1
9,11,Mrs. Bennet,Elizabeth Bennet,136,Undirected,1
11,14,Elizabeth Bennet,Kitty Bennet,136,Undirected,1
10,12,Jane Bennet,Mary Bennet,136,Undirected,1
11,23,Elizabeth Bennet,Mr. Wickham,136,Undirected,1
13,14,Lydia Bennet,Kitty Bennet,136,Undirected,1
9,23,Mrs. Bennet,Mr. Wickham,136,Undirected,1
13,23,Lydia Bennet,Mr. Wickham,136,Undirected,1
5,9,Mr. Darcy,Mrs. Bennet,136,Undirected,1
5,12,Mr. Darcy,Mary Bennet,136,Undirected,1
8,11,Mr. Bennet,Elizabeth Bennet,136,Undirected,1
9,10,Mrs. Bennet,Jane Bennet,136,Undirected,1
8,14,Mr. Bennet,Kitty Bennet,136,Undirected,1
10,11,Jane Bennet,Elizabeth Bennet,136,Undirected,1
9,13,Mrs. Bennet,Lydia Bennet,136,Undirected,1
8,23,Mr. Bennet,Mr. Wickham,136,Undirected,1
10,14,Jane Bennet,Kitty Bennet,136,Undirected,1
11,13,Elizabeth Bennet,Lydia Bennet,136,Undirected,1
10,23,Jane Bennet,Mr. Wickham,136,Undirected,1
12,14,Mary Bennet,Kitty Bennet,136,Undirected,1
12,23,Mary Bennet,Mr. Wickham,136,Undirected,1
5,11,Mr. Darcy,Elizabeth Bennet,136,Undirected,1
5,8,Mr. Darcy,Mr. Bennet,136,Undirected,1
5,14,Mr. Darcy,Kitty Bennet,136,Undirected,1
14,23,Kitty Bennet,Mr. Wickham,136,Undirected,1
9,12,Mrs. Bennet,Mary Bennet,136,Undirected,1
8,10,Mr. Bennet,Jane Bennet,136,Undirected,1
5,23,Mr. Darcy,Mr. Wickham,136,Undirected,1
10,13,Jane Bennet,Lydia Bennet,136,Undirected,1
8,13,Mr. Bennet,Lydia Bennet,136,Undirected,1
11,12,Elizabeth Bennet,Mary Bennet,136,Undirected,1
16,26,Charlotte Lucas,Mrs. Philips,137,Undirected,1
12,16,Mary Bennet,Charlotte Lucas,137,Undirected,1
12,13,Mary Bennet,Lydia Bennet,137,Undirected,1
14,16,Kitty Bennet,Charlotte Lucas,137,Undirected,1
8,9,Mr. Bennet,Mrs. Bennet,137,Undirected,1
14,25,Kitty Bennet,Mrs. Gardiner,137,Undirected,1
12,25,Mary Bennet,Mrs. Gardiner,137,Undirected,1
9,14,Mrs. Bennet,Kitty Bennet,137,Undirected,1
8,12,Mr. Bennet,Mary Bennet,137,Undirected,1
9,11,Mrs. Bennet,Elizabeth Bennet,137,Undirected,1
9,17,Mrs. Bennet,Mr. Collins,137,Undirected,1
11,14,Elizabeth Bennet,Kitty Bennet,137,Undirected,1
10,12,Jane Bennet,Mary Bennet,137,Undirected,1
17,24,Mr. Collins,Mr. Gardiner,137,Undirected,1
