Name,Color,HEX Code
Caddy,Cyan,#00FFFF
Quentin,Blue,#0000FF
Benjy,Yellow,#FFFF00
Dilsey ,Green,#00FF00
Jason,Red,#FF0000
Quentin Jr. ,Magenta,#FF00FF
