Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Caddy,Quentin,Benjy,Jason,Dilsey,Quentin Jr.
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,3,3,4-7-1928,4-7-1928,3,75,F,"""...find that quarter...""",F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,4,4,1928-04-07,1928-04-07,3,75,F,Caddy uncaught me,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,4,4,4-7-1928,4-7-1928,3,75,F,...aint no more...,F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,5,5,1928-04-07,1928-04-07,3,75,F,Keep your hands...,T,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,6,6,1928-04-07,1928-04-07,3,75,F,"""Yes, sir.""",T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,6,6,4-7-1928,4-7-1928,3,75,F,What are you moaning...,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,9,9,1928-04-07,1928-04-07,3,75,F,"""Git in, now...""",F,F,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,9,9,4-7-1928,4-7-1928,3,75,F,Cant you shut up...,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,10,10,1928-04-07,1928-04-07,3,75,F,...and Dilsey helped...,F,F,T,T,T,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,11,11,1928-04-07,1928-04-07,3,75,F,"""...cemetery...""",F,F,T,T,T,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,12,12,1928-04-07,1928-04-07,3,75,F,"""Keep your hands...""",T,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,12,12,1928-04-07,1928-04-07,3,75,F,"...Mother.""",F,F,T,T,T,F
