id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
111,"Knows","Peeves","The Bloody Baron","1","Through the Trapdoor","199","199"
113,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","200","200"
114,"Knows","Harry Potter","Fluffy","1","Through the Trapdoor","200","201"
116,"Knows","Ronald Weasley","Severus Snape","1","Through the Trapdoor","200","200"
117,"Knows","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","200","200"
123,"Knows","Harry Potter","Hedwig","1","Through the Trapdoor","201","201"
124,"Knows","Ronald Weasley","Hedwig","1","Through the Trapdoor","201","201"
126,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","201","201"
131,"Knows","Hermione Granger","Severus Snape","1","Through the Trapdoor","200","200"
132,"Knows","Harry Potter","Norbert","1","Through the Trapdoor","202","202"
142,"Knows","Ronald Weasley","Severus Snape","1","Through the Trapdoor","205","205"
143,"Knows","Harry Potter","Ronald Weasley","1","Through the Trapdoor","206","207"
144,"Knows","Hermione Granger","Ronald Weasley","1","Through the Trapdoor","206","207"
146,"Knows","Hermione Granger","Professor Sprout","1","Through the Trapdoor","206","206"
147,"Knows","Hermione Granger","Professor Flitwick","1","Through the Trapdoor","206","206"
148,"Knows","Hermione Granger","Minerva McGonagall","1","Through the Trapdoor","206","206"
149,"Knows","Hermione Granger","Professor Quirell","1","Through the Trapdoor","206","206"
150,"Knows","Hermione Granger","Severus Snape","1","Through the Trapdoor","205","206"
151,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","205","206"
152,"Knows","Hermione Granger","Harry Potter","1","Through the Trapdoor","207","207"
155,"Knows","Harry Potter","Fluffy","1","Through the Trapdoor","208","208"
156,"Knows","Harry Potter","Hedwig","1","Through the Trapdoor","208","208"
157,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","208","208"
159,"Knows of","Hermione Granger","Voldemort","0","Through the Trapdoor","208","208"
