id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],44,Knows,Ronald Weasley,Severus Snape,1,Through the Trapdoor,191,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],46,Knows,Severus Snape,Fluffy,1,Through the Trapdoor,192,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],48,Knows,Ronald Weasley,Rubeus Hagrid,1,Through the Trapdoor,192,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],49,Knows,Harry Potter,Rubeus Hagrid,1,Through the Trapdoor,192,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],50,Knows,Rubeus Hagrid,Albus Dumbledore,1,Through the Trapdoor,192,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],51,Knows,Harry Potter,Albus Dumbledore,1,Through the Trapdoor,192,192
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],55,Exchange,Ronald Weasley,Rubeus Hagrid,1,Through the Trapdoor,193,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],56,Exchange,Hermione Granger,Rubeus Hagrid,1,Through the Trapdoor,193,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],61,Knows,Harry Potter,Albus Dumbledore,1,Through the Trapdoor,194,195
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],62,Knows,Harry Potter,Voldemort,1,Through the Trapdoor,194,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],63,Knows,Rubeus Hagrid,Fluffy,1,Through the Trapdoor,192,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],64,Knows,Harry Potter,Severus Snape,1,Through the Trapdoor,194,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],66,Knows,Harry Potter,Bane,1,Through the Trapdoor,194,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],67,Knows,Harry Potter,Firenze,1,Through the Trapdoor,194,194
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],68,Knows,Minerva McGonagall,Albus Dumbledore,1,Through the Trapdoor,194,195
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],69,Exchange,Harry Potter,Minerva McGonagall,1,Through the Trapdoor,194,196
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],76,Knows,Ronald Weasley,Professor Flitwick,1,Through the Trapdoor,196,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],79,Knows,Harry Potter,The Fat Lady,1,Through the Trapdoor,196,196
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],80,Knows,Harry Potter,Professor Flitwick,1,Through the Trapdoor,196,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],81,Knows,Hermione Granger,The Fat Lady,1,Through the Trapdoor,196,196
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],85,Knows,Harry Potter,Voldemort,1,Through the Trapdoor,196,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],87,Knows,Harry Potter,Petunia Dursley,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],89,Knows,Harry Potter,James Potter,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],91,Knows,Hermione Granger,Professor Flitwick,1,Through the Trapdoor,196,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],92,Knows,Harry Potter,Lee Jordan,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],94,Knows,Harry Potter,Rubeus Hagrid,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],95,Knows,Harry Potter,Fluffy,1,Through the Trapdoor,196,198
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],96,Knows,Harry Potter,Argus Filtch,1,Through the Trapdoor,197,197
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],97,Exchange,Neville Longbottom,Ronald Weasley,1,Through the Trapdoor,197,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],98,Exchange,Neville Longbottom,Harry Potter,1,Through the Trapdoor,197,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],99,Exchange,Neville Longbottom,Hermione Granger,1,Through the Trapdoor,197,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],100,Knows,Harry Potter,Severus Snape,1,Through the Trapdoor,198,198
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],102,Knows,Neville Longbottom,Trevor (Neville's Toad),1,Through the Trapdoor,198,198
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],105,Exchange,Peeves,Harry Potter,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],106,Knows,Harry Potter,Argus Filtch,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],107,Knows,Harry Potter,Mrs. Norris,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],108,Exchange,Peeves,Hermione Granger,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],109,Knows,Peeves,Argus Filtch,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],111,Knows,Peeves,The Bloody Baron,1,Through the Trapdoor,199,199
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],113,Knows,Harry Potter,Severus Snape,1,Through the Trapdoor,200,200
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],114,Knows,Harry Potter,Fluffy,1,Through the Trapdoor,200,201
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],116,Knows,Ronald Weasley,Severus Snape,1,Through the Trapdoor,200,200
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],117,Knows,Harry Potter,Rubeus Hagrid,1,Through the Trapdoor,200,200
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],123,Knows,Harry Potter,Hedwig,1,Through the Trapdoor,201,201
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],124,Knows,Ronald Weasley,Hedwig,1,Through the Trapdoor,201,201
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],126,Knows,Harry Potter,Albus Dumbledore,1,Through the Trapdoor,201,201
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],131,Knows,Hermione Granger,Severus Snape,1,Through the Trapdoor,200,200
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],132,Knows,Harry Potter,Norbert,1,Through the Trapdoor,202,202
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],142,Knows,Ronald Weasley,Severus Snape,1,Through the Trapdoor,205,205
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],143,Knows,Harry Potter,Ronald Weasley,1,Through the Trapdoor,206,207
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],144,Knows,Hermione Granger,Ronald Weasley,1,Through the Trapdoor,206,207
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],146,Knows,Hermione Granger,Professor Sprout,1,Through the Trapdoor,206,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],147,Knows,Hermione Granger,Professor Flitwick,1,Through the Trapdoor,206,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],148,Knows,Hermione Granger,Minerva McGonagall,1,Through the Trapdoor,206,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],149,Knows,Hermione Granger,Professor Quirell,1,Through the Trapdoor,206,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],150,Knows,Hermione Granger,Severus Snape,1,Through the Trapdoor,205,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],151,Knows,Harry Potter,Severus Snape,1,Through the Trapdoor,205,206
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],152,Knows,Hermione Granger,Harry Potter,1,Through the Trapdoor,207,207
