id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],60,Exchange,John Wildstrand,Neve Harp,1,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],61,Knows,Edward Harp,Neve Harp,1,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],62,Exchange,John Wildstrand,Maggie Peace,1,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildstrand,0,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],64,Knows,Evelina Harp,Neve Harp,0,The Plague of Doves,8,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],65,Knows of,Evelina Harp,Maggie Peace,0,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],66,Knows,Octave Harp,Woman (Octave drowned himself over),1,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],67,Knows of,Evelina Harp,Octave Harp,0,The Plague of Doves,8,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],68,Knows of,Evelina Harp,Woman (Octave drowned himself over),0,The Plague of Doves,9,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],69,Knows,Edward Harp,Octave Harp,1,The Plague of Doves,9,9,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],70,Knows,Evelina Harp,Corwin Peace,1,The Million Names,9,9,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],72,Exchange,Evelina Harp,Other Children (in school with Evelina),1,The Million Names,10,10,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],73,Exchange,Corwin Peace,Other Children (in school with Evelina),1,The Million Names,10,10,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],74,Exchange,Corwin Peace,Evelina Harp,1,The Million Names,10,10,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],75,Exchange,Clemence Harp,Evelina Harp,0,The Million Names,10,10,
30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],76,Knows,Evelina Harp,Clemence Harp,1,The Million Names,10,10,
