id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],45,Knows,Lerna,Uche,1,"1: you, at the end",21,21,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],46,Knows,Lerna,Jija,1,"1: you, at the end",21,21,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],47,Knows,Jija,Uche,1,"1: you, at the end",21,24,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],48,Knows,Jija,Nassun,1,"1: you, at the end",22,22,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],49,Knows,Uche,Nassun,1,"1: you, at the end",22,22,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],50,Knows,Lerna,Uche,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],51,Knows,Essun,Rask,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],52,Knows,Lerna,Rask,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],53,Knows,Lerna,Eran,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],54,Knows,Rask,Eran,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],55,Knows,Essun,Eran,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],56,Knows,Lerna,Tirimo's citizens,1,"1: you, at the end",23,23,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],57,Knows,Essun,Alabaster,1,"1: you, at the end",24,24,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],58,Exchange,Essun,Essun,1,"1: you, at the end",24,24,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],59,Knows,Essun,Nassun,1,"1: you, at the end",24,24,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],60,Knows,Jija,Nassun,1,"1: you, at the end",24,24,
2,"1: you, at the end",level 1 (section),15,24,Hoa,Essun,[NULL],61,Knows,Essun,Tirimo's citizens,1,"1: you, at the end",24,24,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],62,Knows,Damaya,Muh Dear,1,"2: Damaya, in winters past",25,25,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],63,Exchange,Damaya's mother,Schaffa,1,"2: Damaya, in winters past",25,29,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],64,Knows,Damaya,Damaya's mother,1,"2: Damaya, in winters past",25,25,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],65,Knows of,Damaya,Schaffa,1,"2: Damaya, in winters past",25,25,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],66,Exchange,Damaya's mother,Damaya,1,"2: Damaya, in winters past",26,26,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],67,Knows,Damaya's mother,Damaya's father,1,"2: Damaya, in winters past",26,26,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],68,Knows of,Schaffa,Damaya,1,"2: Damaya, in winters past",26,27,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],69,Knows,Damaya,Damaya's father,1,"2: Damaya, in winters past",26,26,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],70,Knows,Damaya,Chaga,1,"2: Damaya, in winters past",26,26,
3,"2: Damaya, in winters past",level 1 (section),25,41,[NULL],[NULL],[NULL],71,Knows,Damaya,Palela's headman,1,"2: Damaya, in winters past",26,26,
