id,Event Name,Start Date,End Date,Narrator,Start Page,End Page,Is Approximate?,Telling  Time,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Evelina Harp,Judge Antone Bazil Coutts,Marn Wolde,Doctor Cordelia Lochren,Seraph Milk,Corwin Peace,Billy Peace,Warren Wolde,Shamengwa Milk
1,Louis Riel hanged,1885-11-16,1885-11-16,Evelina Harp,21,21,,1986-07-02,1986-07-02,1986-07-02,3,86,T,"Based on Louis Riel's death (source: ""The Fate of Louis Riel."" CBC, 2001. https://www.cbc.ca/history/EPISCONTENTSE1EP10CH4PA4LE.html. Accessed 27 February 2025.) ",,,,,,,,,
4,Plague of doves,1896-01-01,1896-06-20,Judge Antone Bazil Coutts,8,8,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"""In the year 1896"" (5) and when Seraph and Junesse run away it is ""too early for there to be much else [than doves] to gather up in the way of food"" (13)  and they travel for ""one whole summer"" (15); therefore the plague of doves likely occurs in the winter and/or spring of 1896.",,,,,T,,,,
6,Mustache Maude stops lynching,1902-07-02,1902-07-02,Evelina Harp,16,16,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"Seraph and Junesse live with Mustache Maude ""for six years” (16) and meet her right after the plague of doves in 1896. The attempted lynching is the inciting incident to their departure so therefore it happens at the end of the six years. ",T,T,T,,T,,,,
6,Mustache Maude stops lynching,1902-07-02,1902-07-02,Marn Wolde,19,19,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"Seraph and Junesse live with Mustache Maude ""for six years” (16) and meet her right after the plague of doves in 1896. The attempted lynching is the inciting incident to their departure so therefore it happens at the end of the six years. ",,,,,T,,,,
9,Lochren Murder,1911-06-15,1911-06-15,Evelina Harp,17,17,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"“1911” (92),  “[o]ne day in early summer” (60). The following four events happen in succession in the summer.  ",,,,T,,,,T,
12,The Lynching,1911-06-15,1911-06-15,Evelina Harp,15,17,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"“1911” (92),  “[o]ne day in early summer” (60).",,,,,T,,,,
14,Octave saves stamps,1922-01-01,1928-12-31,Marn Wolde,9,9,,1986-07-02,1986-07-02,1986-07-02,3,86,T," “about six years before he absconded with the bank’s money, Octave Harp had gone into…stamps” (302), and ”[i]n 1928 the owner of the National Bank of Pluto fled the country with most of the town's money” (297). 1928-6 years is 1922. ",,,,,,,,,
17,Billy and John ransom Neve,1904-02-03,1954-02-03,Evelina Harp,12,15,T,1986-07-02,1986-07-02,1986-07-02,3,86,T,"Neve exclaiming ""'In this snow?'"" (119) indicates that it is winter and on the same day John suggests that Billy kidnaps Neve ""tomorrow night"" (123). As Maggie is already pregnant, this happens within nine months of Corwin's birth and as Corwin is born in 1954 this must be in winter 1953/54. ",,,,,,,T,,
20,Evelina kisses Corwin,1966-04-11,1966-04-11,Cordelia,20,20,,1986-07-02,1986-07-02,1986-07-02,3,86,T,"“mid-1960s,” (9) before “[w]e were in the sixth grade” (43). Evelina goes to college “in the fall of 1972” (221), (she goes to college right after highschool as she says ""I was just about to graduate and was working at the 4-B's, saving up money for college"" (184)) so she would be in sixth grade 6 years earlier which is 1966. This happens “[t]he day after Easter Monday” (19) which in 1966 is April 11th. ",T,T,,,,T,,,T
